Epoch,Phase,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Runtime(ms),Throughput(ops/sec),AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),WatcherSamples,WatcherCPU_min,WatcherCPU_q1,WatcherCPU_median,WatcherCPU_q3,WatcherCPU_max,WatcherMemoryKB_min,WatcherMemoryKB_q1,WatcherMemoryKB_median,WatcherMemoryKB_q3,WatcherMemoryKB_max
6,run,READ,2,37205555,10683339,10246580,2812159,600239,2734970,0,0,613,23552,33269574,314696534,3901426681,7398016846,636834563,91711863,12486506007948,14645905013,1908123322,78489516,8386,11924.636298592894,80.14402,36,13327,108,234,8,47.2,66.525,71.95,72.42500000000001,72.5,735756.0,813530.0,819144.0,820699.0,820980.0
6,reference,READ,1,1856932,745768,608908,10181,12,62,0,0,613,23552,33269614,314696534,3901426681,7398016846,636834563,91711863,12486506007948,14645905013,1908123322,78489516,3609,27708.50651149903,32.34991,22,11007,44,76,3,39.7,46.75,53.8,54.85,55.9,44492.0,44492.0,44492.0,44492.0,44492.0
6,clean-run,READ,439,2393089,751968,741002,75164,1,0,4,385024,613,23553,33356017,314696534,3901426682,7398027990,636863930,91711923,12486594355643,14646040096,1908124309,78490993,7441,13439.0538906061,70.72108,33,12591,97,210,7,43.4,61.2,66.0,68.69999999999999,69.1,115840.0,121248.0,123124.0,124230.0,125220.0
6,avg-run,READ,441,6385654,1984296,1933277,165164,5,0,4,385024,613,23553,33356017,314696534,3901426682,7398038290,636863930,91711923,12486679566517,14646230707,1908124387,78490993,7478,13372.55950788981,71.07572,45,23647,91,130,7,41.3,62.05,67.4,68.0,68.4,119572.0,119764.0,119764.0,119764.0,119764.0
7,extend,EXTEND,2,44141785,12946295,12453757,3784820,700261,3701236,0,0,613,23558,33699567,314696534,3901455630,7398048460,636999339,91712019,12489283313166,14650048155,1908374281,78490993,181122,552.1140446770685,1803.40079,381,22767,4851,8191,174,15.5,24.7,24.8,29.95,38.3,116848.0,801598.0,934130.0,1665723.0,2086676.0
7,run,READ,2,48204498,13977619,13463758,3785420,700283,3701826,0,0,613,23558,33710719,314696534,3901455706,7398048536,636999339,91712019,12489390154259,14650407505,1908506462,78492327,8574,11663.167716351762,81.96634,40,25423,116,255,8,45.6,67.125,72.25,74.95,76.0,785048.0,918569.0,923848.0,925797.0,929276.0
7,reference,READ,1,2159518,870572,710185,10181,12,62,0,0,613,23558,33710758,314696534,3901455706,7398048536,636999339,91712019,12489390154259,14650407505,1908506462,78492327,3454,28951.93977996525,30.79283,22,13567,45,77,3,39.5,46.9,54.3,56.3,58.3,44496.0,44496.0,44496.0,44496.0,44496.0
7,clean-run,READ,407,2749276,873680,862711,81941,1,0,4,385024,613,23559,33820458,314696534,3901455707,7398061114,637023125,91712106,12489491142830,14650567509,1908507451,78500623,7762,12883.277505797474,73.84443,37,14447,98,214,7,43.4,65.0,69.8,74.1,81.9,128180.0,133570.0,134228.0,204120.0,278504.0
7,avg-run,READ,409,6776035,2120876,2069854,171941,5,0,4,385024,613,23559,33820458,314696534,3901455707,7398072804,637023125,91712106,12489586353141,14650758146,1908507536,78500623,7966,12553.351744915892,75.94533,52,20815,95,134,7,44.5,64.5,70.3,72.0,72.7,132096.0,132704.0,132800.0,132800.0,132800.0
8,extend,EXTEND,2,55926796,16561229,15992380,4915510,800305,4826204,0,0,613,23565,34286693,314696534,3901510195,7398105689,637171462,91712643,12492675387118,14655116996,1908881417,78500623,189738,527.0425534157628,1888.9908,386,103423,5463,8863,182,16.4,26.8,27.2,31.975,40.3,123540.0,905064.0,1330316.0,2144986.0,2564336.0
8,run,READ,2,60268067,17665349,17075177,4916153,800327,4826837,0,0,613,23565,34309772,314696534,3901510277,7398105770,637171462,91712643,12492809661681,14655538222,1909068554,78507243,9722,10285.949393128984,93.39708,42,29535,126,285,9,46.0,68.7,73.3,75.2,76.4,860780.0,1064300.0,1066296.0,1068432.0,1070072.0
8,reference,READ,1,2462104,995376,811462,10181,12,62,0,0,613,23565,34309816,314696534,3901510277,7398105770,637171462,91712643,12492809661681,14655538222,1909068554,78507243,3971,25182.573659027952,35.97589,23,11775,48,75,3,38.4,44.3,50.2,52.6,55.0,44500.0,44500.0,44500.0,44500.0,44500.0
8,clean-run,READ,373,2903969,934662,923693,87753,18,0,4,385024,613,23566,34434451,314696534,3901510278,7398119710,637196342,91712717,12492922006411,14655711286,1909069543,78509728,8697,11498.217776244685,83.23013,41,22303,112,248,8,44.5,65.025,71.1,73.925,86.4,139044.0,145381.0,146382.0,176949.0,305944.0
8,avg-run,READ,375,6957832,2193562,2142540,177753,22,0,4,385024,613,23566,34434451,314696534,3901510278,7398132511,637196342,91712717,12493027209745,14655901944,1909069630,78509728,7819,12789.35925310142,74.55283,53,21359,93,130,7,47.2,68.15,73.0,75.85,76.6,143324.0,144348.0,144412.0,144412.0,144412.0
9,extend,EXTEND,2,68731888,20527975,19883772,6185113,900349,6090700,0,0,613,23572,34977887,314696534,3901546542,7398144702,637326975,91712838,12496492485583,14660739750,1909474676,78509728,188298,531.0730862781336,1874.77427,388,19407,5903,9495,181,22.2,28.4,29.8,33.8,43.7,130692.0,1004712.0,1426160.0,2453776.0,2741004.0
9,run,READ,2,73180045,21674462,21008936,6185787,900371,6091366,0,0,613,23572,34982439,314696534,3901546626,7398144785,637326975,91712838,12496586843634,14661218299,1909589167,78509728,10170,9832.84169124877,97.74421,44,23711,132,276,9,44.9,69.6,73.4,74.5,77.0,953276.0,1183196.0,1189628.0,1192440.0,1204020.0
9,reference,READ,1,2764690,1120180,912739,10181,12,62,0,0,613,23572,34982480,314696534,3901546626,7398144785,637326975,91712838,12496586843634,14661218299,1909589167,78509728,3715,26917.900403768504,33.31347,22,10743,47,76,3,38.4,45.05,51.7,53.400000000000006,55.1,44500.0,44500.0,44500.0,44500.0,44500.0
9,clean-run,READ,310,3023379,971407,960438,92981,1,0,4,385024,613,23573,35141762,314696534,3901546627,7398160068,637375773,91712884,12496710446209,14661403203,1909590156,78512808,8655,11554.015020219524,82.72413,41,24159,112,246,8,43.4,65.4,72.19999999999999,76.72500000000001,87.6,155892.0,158236.0,158886.0,199904.0,320676.0
9,avg-run,READ,312,7510408,2360835,2309813,192981,5,0,4,385024,613,23573,35141762,314696534,3901546627,7398174922,637375773,91712884,12496827164473,14661613905,1909590251,78512808,8574,11663.167716351762,82.00669,57,21999,106,149,8,40.8,65.775,71.85,73.75,74.7,158252.0,161304.0,161368.0,161368.0,161368.0
10,extend,EXTEND,2,82304411,24808830,24089926,7591860,1000393,7492638,0,0,613,23580,35843203,314696534,3901607557,7398208382,637520356,91713602,12500767625166,14666896360,1910106138,78512808,198295,504.2991502559318,1974.74708,398,109695,6491,10231,190,22.2,29.7,33.3,34.8,43.8,137928.0,1389500.0,2349104.0,2930811.0,3374256.0
10,run,READ,2,87083731,25992089,25251862,7592564,1000415,7493337,0,0,613,23580,35856185,314696534,3901607645,7398208469,637520356,91713602,12500894083186,14667466066,1910279653,78514401,9922,10078.613182826042,95.45945,45,20383,137,301,9,47.2,72.0,77.9,80.0,80.6,1032572.0,1309656.0,1321756.0,1324236.0,1326244.0
10,reference,READ,1,3067276,1244984,1014016,10181,12,62,0,0,613,23580,35856228,314696534,3901607645,7398208469,637520356,91713602,12500894083186,14667466066,1910279653,78514401,3857,25926.886180969665,34.72028,22,11559,47,74,3,38.8,45.4,52.0,53.75,55.5,44440.0,44440.0,44440.0,44440.0,44440.0
10,clean-run,READ,312,3130317,1018349,1007380,97934,1,0,4,385024,613,23581,36038214,314696534,3901607646,7398225146,637566592,91713637,12501028896701,14667662266,1910280642,78520030,9244,10817.82778018174,88.48348,43,19775,124,293,8,58.2,64.6,70.4,72.675,74.5,168872.0,169856.0,170848.0,171649.0,335400.0
10,avg-run,READ,314,7635762,2417731,2366709,197934,5,0,4,385024,613,23581,36038214,314696534,3901607646,7398240000,637566592,91713637,12501155602802,14667872982,1910280740,78520030,8888,11251.12511251125,85.13025,59,25807,106,148,8,41.9,67.1,71.85,74.05,75.5,161160.0,163256.0,163272.0,163272.0,163272.0
11,extend,EXTEND,2,97675244,29501739,28707867,9168894,1100448,9065172,0,0,613,23589,36892555,314696534,3901670563,7398274050,637721173,91713905,12505692010932,14674062359,1911072123,78520030,200551,498.62628458596566,1997.48459,385,19135,6991,11031,193,22.4,32.0,35.7,36.8,47.0,137972.0,1372476.0,2665348.0,3492840.0,3920784.0
11,run,READ,2,101964949,30674127,29859809,9169258,1100459,9065534,0,0,613,23589,36909015,314696534,3901670653,7398274140,637721173,91713905,12505744180061,14674391864,1911138975,78521247,10516,9509.319132750095,101.27208,46,21615,146,313,10,45.5,73.725,76.8,78.275,80.0,1074756.0,1448554.0,1461500.0,1465543.0,1465948.0
11,reference,READ,1,3369862,1369788,1115293,10181,12,62,0,0,613,23589,36909058,314696534,3901670653,7398274140,637721173,91713905,12505744203351,14674392239,1911138975,78521247,3906,25601.63850486431,35.17023,22,11431,46,75,3,38.4,43.9,49.4,51.35,53.3,44432.0,44432.0,44432.0,44432.0,44432.0
11,clean-run,READ,245,3220000,1080850,1069881,102503,1,0,4,385024,613,23590,37059139,314696534,3901670654,7398292141,637760143,91713922,12505890163851,14674598981,1911139964,78525216,9656,10356.255178127589,92.65988,44,36319,127,289,9,42.6,69.0,73.6,76.8,92.5,181240.0,182560.0,186832.0,192276.0,366772.0
11,avg-run,READ,247,7745917,2489418,2438396,202503,5,0,4,385024,613,23590,37059139,314696534,3901670654,7398309470,637760143,91713922,12506026807384,14674809336,1911139966,78525216,9352,10692.8999144568,89.88418,62,24399,112,156,9,43.3,66.7,72.8,74.2,74.9,178960.0,185488.0,185552.0,185552.0,185552.0
12,extend,EXTEND,2,112182665,34387687,33520301,10851927,1200492,10743848,0,0,613,23599,37813415,314696534,3901790368,7398396523,637935168,91716260,12510682082365,14680754307,1911614390,78525216,209887,476.4468499716514,2090.86194,390,407039,7451,12055,202,21.3,32.7,33.7,36.3,50.9,145308.0,1299586.0,2182010.0,3669115.0,5301840.0
12,run,READ,2,117324303,35664045,34775336,10852676,1200514,10744592,0,0,613,23599,37859124,314696534,3901790464,7398396618,637935168,91716260,12510909431214,14681699121,1912006453,78534123,11570,8643.042350907519,111.83519,48,26351,154,338,11,47.2,73.80000000000001,77.6,79.5,80.4,1212492.0,1718174.0,1736696.0,1744288.0,1747304.0
12,reference,READ,1,3672521,1495482,1216584,10181,12,62,0,0,613,23599,37859163,314696534,3901790464,7398396618,637935168,91716260,12510909431214,14681699121,1912006453,78534123,3505,28530.670470756064,31.1527,21,13831,43,74,3,39.3,46.05,52.8,55.55,58.3,44492.0,44492.0,44492.0,44492.0,44492.0
12,clean-run,READ,181,3295123,1106145,1095176,106998,1,0,4,385024,613,23600,38152421,314696534,3901790465,7398415969,637973808,91716326,12511066591961,14681916605,1912007544,78543278,9964,10036.130068245684,95.71136,46,31375,135,309,9,42.6,68.7,73.4,76.7,93.7,181400.0,202760.0,203988.0,205808.0,397640.0
12,avg-run,READ,183,7835092,2523755,2472733,206998,5,0,4,385024,613,23600,38152421,314696534,3901790465,7398433298,637973808,91716326,12511213235570,14682126962,1912007546,78543278,9110,10976.94840834248,87.44719,63,20799,113,161,8,44.0,66.3,74.2,77.225,78.3,182068.0,187268.0,187444.0,187444.0,187444.0
13,extend,EXTEND,2,128502739,39701077,38759949,12703479,1300547,12591046,0,0,613,23609,39023481,314696534,3901843107,7398452691,638161409,91716531,12516305490787,14688668848,1912521246,78543278,218801,457.0363023934991,2179.85527,394,16279,7803,12559,210,20.0,33.5,35.0,37.2,48.8,151532.0,1542141.0,2650164.0,3803532.0,6075088.0
13,run,READ,2,133725731,41013399,40050948,12704247,1300569,12591811,0,0,613,23610,39122871,314696534,3901843965,7398452787,638161409,91716531,12516579574560,14689663227,1913115499,78555144,12107,8259.684480052862,117.12379,53,35967,163,369,11,43.8,74.65,80.0,81.45,82.2,1151708.0,1847862.0,1885564.0,1891452.0,1893896.0
13,reference,READ,1,3975180,1621176,1317875,10181,12,62,0,0,613,23610,39122916,314696534,3901843965,7398452787,638161409,91716531,12516579574560,14689663227,1913115499,78555144,4087,24467.82481037436,37.00866,23,13551,48,74,3,38.8,44.65,50.5,52.0,53.5,44492.0,44492.0,44492.0,44492.0,44492.0
13,clean-run,READ,117,3365123,1155964,1144995,111454,8,0,4,385024,613,23611,39360888,314696534,3901843966,7398473491,638194734,91716603,12516747790089,14689890708,1913116488,78560893,10081,9919.650828290843,97.00668,48,27503,134,325,9,44.9,74.0,77.0,79.9,83.0,191072.0,210608.0,211572.0,218532.0,407768.0
13,avg-run,READ,119,7922891,2582518,2531496,211454,12,0,4,385024,613,23611,39360888,314696534,3901843966,7398493821,638194734,91716603,12516904495352,14690101460,1913116594,78560893,9934,10066.438494060802,95.62533,67,23807,116,165,9,43.9,68.6,73.2,75.0,76.4,202164.0,214008.0,214072.0,214072.0,214072.0
