run,epoch,phase,p95_latency_ms
full_view_run1,64,reference,0.071
full_view_run1,65,reference,0.072
full_view_run1,66,reference,0.071
full_view_run1,67,reference,0.072
full_view_run1,68,reference,0.072
full_view_run1,69,reference,0.07
full_view_run1,70,reference,0.071
full_view_run1,71,reference,0.072
full_view_run1,72,reference,0.073
full_view_run1,73,reference,0.073
full_view_run1,74,reference,0.073
full_view_run1,75,reference,0.074
full_view_run1,76,reference,0.072
full_view_run1,77,reference,0.072
full_view_run1,78,reference,0.071
full_view_run1,79,reference,0.072
full_view_run1,80,reference,0.07
full_view_run1,81,reference,0.072
full_view_run1,82,reference,0.072
full_view_run1,83,reference,0.071
full_view_run1,84,reference,0.072
full_view_run1,85,reference,0.075
full_view_run1,86,reference,0.072
full_view_run1,87,reference,0.072
full_view_run1,88,reference,0.072
full_view_run1,89,reference,0.071
full_view_run1,90,reference,0.072
full_view_run1,91,reference,0.071
full_view_run1,92,reference,0.076
full_view_run1,93,reference,0.076
full_view_run1,94,reference,0.072
full_view_run1,95,reference,0.074
full_view_run1,96,reference,0.072
full_view_run1,97,reference,0.071
full_view_run1,98,reference,0.076
full_view_run1,99,reference,0.076
full_view_run1,100,reference,0.074
full_view_run2,1,extend,1.471
full_view_run2,2,extend,2.069
full_view_run2,3,extend,2.617
full_view_run2,4,extend,3.241
full_view_run2,5,extend,3.831
full_view_run2,6,extend,4.455
full_view_run2,7,extend,5.071
full_view_run2,8,extend,5.695
full_view_run2,9,extend,6.111
full_view_run2,10,extend,6.747
full_view_run2,11,extend,7.259
full_view_run2,12,extend,7.871
full_view_run2,13,extend,8.375
full_view_run2,14,extend,8.759
full_view_run2,15,extend,9.167
full_view_run2,16,extend,9.767
full_view_run2,17,extend,10.135
full_view_run2,18,extend,10.535
full_view_run2,19,extend,10.455
full_view_run2,20,extend,11.343
full_view_run2,21,extend,11.791
full_view_run2,22,extend,12.215
full_view_run2,23,extend,13.135
full_view_run2,24,extend,13.911
full_view_run2,25,extend,13.719
full_view_run2,26,extend,14.519
full_view_run2,27,extend,15.343
full_view_run2,28,extend,15.583
full_view_run2,29,extend,15.863
full_view_run2,30,extend,15.751
full_view_run2,31,extend,16.527
full_view_run2,32,extend,17.087
full_view_run2,33,extend,17.887
full_view_run2,34,extend,18.927
full_view_run2,35,extend,18.287
full_view_run2,36,extend,20.159
full_view_run2,37,extend,20.495
full_view_run2,38,extend,21.791
full_view_run2,39,extend,21.951
full_view_run2,40,extend,22.527
full_view_run2,41,extend,22.607
full_view_run2,42,extend,23.023
full_view_run2,43,extend,23.375
full_view_run2,44,extend,23.839
full_view_run2,45,extend,24.191
full_view_run2,46,extend,25.935
full_view_run2,47,extend,25.967
full_view_run2,48,extend,25.839
full_view_run2,49,extend,27.263
full_view_run2,50,extend,26.047
full_view_run2,51,extend,27.487
full_view_run2,52,extend,28.047
full_view_run2,53,extend,28.479
