Epoch,AverageLatency(us),delta_cache_hit_ratio,hit_ln_epoch_term,miss_epoch_term,temp_bytes_term,predicted_average_latency_us,residual_us,intercept,alpha_hit_ln_epoch,beta_miss_epoch,gamma_temp_bytes,r_squared,adjusted_r_squared
21,168.2108,0.9465693125408697,2.8818515108911136,1.1220444366417355,0,161.96803599916512,6.242764000834882,13.08522508416094,46.530980561246935,13.179009492340851,1.041635606213731e-06,0.9463916366877643,0.9447163753342569
22,172.82437,0.9456069576844935,2.92291125039377,1.196646930941142,0,164.8617729203373,7.962597079662686,13.08522508416094,46.530980561246935,13.179009492340851,1.041635606213731e-06,0.9463916366877643,0.9447163753342569
23,177.2579,0.9492468397267299,2.976357975452186,1.1673226862852135,0,166.96223694641654,10.295663053583468,13.08522508416094,46.530980561246935,13.179009492340851,1.041635606213731e-06,0.9463916366877643,0.9447163753342569
24,180.07364,0.9158948513852136,2.9107631406407406,2.0185235667548724,0,175.1280294464855,4.945610553514513,13.08522508416094,46.530980561246935,13.179009492340851,1.041635606213731e-06,0.9463916366877643,0.9447163753342569
25,184.09612,0.890577003322514,2.8666567861784076,2.73557491693715,0,182.5257440749193,1.5703759250807252,13.08522508416094,46.530980561246935,13.179009492340851,1.041635606213731e-06,0.9463916366877643,0.9447163753342569
26,193.23507,0.8934091414985068,2.9108132309530297,2.771362321038823,0,185.0520292867432,8.183040713256815,13.08522508416094,46.530980561246935,13.179009492340851,1.041635606213731e-06,0.9463916366877643,0.9447163753342569
27,190.74297,0.8864168483924225,2.9214853275791164,3.066745093404592,0,189.44146476828178,1.301505231718238,13.08522508416094,46.530980561246935,13.179009492340851,1.041635606213731e-06,0.9463916366877643,0.9447163753342569
28,199.42926,0.8819807570910041,2.9389402566663847,3.3045388014518853,0,193.38754526991363,6.041714730086369,13.08522508416094,46.530980561246935,13.179009492340851,1.041635606213731e-06,0.9463916366877643,0.9447163753342569
29,197.63752,0.8676746566483573,2.921717253116959,3.8374349571976385,0,199.60918552155425,-1.9716655215542573,13.08522508416094,46.530980561246935,13.179009492340851,1.041635606213731e-06,0.9463916366877643,0.9447163753342569
30,213.3883,0.8506336446119301,2.8931729248078333,4.480990661642096,0,206.76241667359207,6.625883326407916,13.08522508416094,46.530980561246935,13.179009492340851,1.041635606213731e-06,0.9463916366877643,0.9447163753342569
