Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,CPU,Memory,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
7,avg-run,10000,true,uniform,READ,0.2,8.4,408,6783229,2127525,2075809,171976,5,0,0,4,385024,689,46839,763792470,567503140,6747800711,12025399842,1204464894,173656683,25154899078242,29750222297,3974058982,80926725,1,0,0,0,0,8268,12094.823415578132,100000,77.77014,52,13343,99,170,100000
8,extend,10000,true,zipfian,EXTEND,7,16.5,2,56128792,16680406,16093698,4929367,800294,4840108,0,0,0,689,46844,764256801,567503140,6747852183,12025429739,1204612067,173657078,25157950062724,29754572584,3974422727,80926725,0,0,0,0,1,183759,544.1910328201612,100000,1828.39264,384,58271,5531,9079,100000
8,run,10000,true,uniform,READ,0.3,10,2,60378756,17772948,17164223,4930011,800316,4840742,0,0,0,689,46845,764262449,567503140,6747852306,12025429820,1204612067,173657078,25158001907090,29754954271,3974488774,80926725,1,0,0,0,0,10146,9856.100926473488,100000,96.64566,44,20191,132,283,100000
8,reference,10000,true,uniform,READ,0.3,10,1,2475757,1008739,821703,10119,1,0,0,0,0,689,46845,764265116,567503140,6747852306,12025429820,1204612067,173657078,25158001907090,29754954271,3974488774,80926725,1,0,0,0,0,4291,23304.59100442787,100000,37.76764,24,15391,48,76,100000
8,clean-run,10000,true,uniform,READ,0.3,10,406,2906294,946548,935232,87710,1,0,0,4,385024,689,46846,764387412,567503140,6747852307,12025443788,1204635346,173657121,25158114232126,29755127204,3974489763,80929053,1,0,0,0,0,8809,11352.026336701101,100000,83.0921,39,18895,118,300,100000
8,avg-run,10000,true,uniform,READ,0.3,10,408,6961749,2206899,2155183,177710,5,0,0,4,385024,689,46846,764387412,567503140,6747852307,12025456589,1204635346,173657121,25158219441615,29755317864,3974489851,80929053,1,0,0,0,0,8184,12218.963831867057,100000,77.07517,55,14311,96,135,100000
9,extend,10000,true,zipfian,EXTEND,4.9,19.5,2,68855768,20668719,20004421,6207601,900338,6113148,0,0,0,689,46852,764944266,567503140,6747891817,12025471984,1204767688,173657274,25161694539372,29760167618,3974886484,80929053,0,0,0,0,1,190321,525.4280925383956,100000,1894.25044,377,18095,6107,9823,100000
9,run,10000,true,uniform,READ,0.4,10.8,2,73424163,21808548,21122233,6208271,900360,6113813,0,0,0,689,46852,764946736,567503140,6747891899,12025472077,1204793637,173657282,25161790043390,29760674576,3975004495,80929053,1,0,0,0,0,10614,9421.518748822311,100000,100.98068,49,20335,145,309,100000
9,reference,10000,true,uniform,READ,0.4,10.8,1,2780013,1135080,924170,10119,1,0,0,0,0,689,46852,764946736,567503140,6747891899,12025472077,1204793637,173657282,25161790043390,29760674576,3975004495,80929053,1,0,0,0,0,4080,24509.803921568626,100000,35.65468,24,12831,47,79,100000
9,clean-run,10000,true,uniform,READ,0.4,10.8,343,3028185,983675,972279,93003,18,0,0,4,385024,689,46853,765112753,567503140,6747891900,12025487386,1204802987,173657321,25161913640430,29760859549,3975005484,80935005,1,0,0,0,0,9056,11042.402826855123,100000,86.00163,43,17999,122,265,100000
9,avg-run,10000,true,uniform,READ,0.4,10.8,345,7516945,2374667,2322871,193003,22,0,0,4,385024,689,46853,765112753,567503140,6747891900,12025502240,1204802987,173657321,25162030360429,29761070248,3975005579,80935005,1,0,0,0,0,8681,11519.410206197443,100000,81.9244,57,12711,111,172,100000
10,extend,10000,true,zipfian,EXTEND,3.5,21.2,2,82512390,24962236,24221261,7615479,1000382,7516258,0,0,0,689,46860,765763961,567503140,6747952057,12025534900,1204950900,173657451,25165913308304,29766313495,3975461486,80935005,0,0,0,0,1,197417,506.54198979824434,100000,1965.59488,387,15343,6619,10535,100000
10,run,10000,true,uniform,READ,0.4,11.5,2,87320835,26146482,25383490,7616183,1000404,7516953,0,0,0,689,46860,765782379,567503140,6747952146,12025534988,1204950900,173657451,25166077845488,29766932101,3975685548,80937061,1,0,0,0,0,10810,9250.693802035152,100000,103.14496,50,26543,147,308,100000
10,reference,10000,true,uniform,READ,0.4,11.5,1,3084269,1261421,1026637,10119,1,0,0,0,0,689,46860,765782434,567503140,6747952146,12025534988,1204950900,173657451,25166077845488,29766932101,3975685548,80937061,1,0,0,0,0,4306,23223.409196470042,100000,38.09266,23,13143,51,85,100000
10,clean-run,10000,true,uniform,READ,0.5,12.5,245,2982799,996916,985603,97565,1,0,0,4,385024,689,46861,765970785,567503140,6747952147,12025551464,1204997768,173657480,25166211051129,29767112611,3975686631,80945152,1,0,0,0,0,9712,10296.540362438222,100000,92.155,44,27535,129,295,100000
10,avg-run,10000,true,uniform,READ,0.5,12.5,247,7488929,2395583,2343870,197565,5,0,0,4,385024,689,46861,765970785,567503140,6747952147,12025566370,1204997768,173657480,25166337694688,29767322967,3975686633,80945152,1,0,0,0,0,10854,9213.193292795282,100000,103.41049,77,13111,147,229,100000
11,extend,10000,true,zipfian,EXTEND,38.6,27.4,2,96860329,29589935,28771182,9168465,1100426,9064853,0,0,0,689,46869,766801993,567503140,6748059179,12025644594,1205146226,173657823,25170589777799,29772862369,3976146388,80945152,0,0,0,0,1,187762,532.5891287907032,100000,1869.36745,385,77759,6995,11263,100000
