Epoch,95thPercentileLatency(us),AverageLatency(us),99thPercentileLatency(us),toast_total_gib,delta_toast_total_gib,delta_toast_total_bytes
43,371,262.83725,853,11.903915405273438,0.0656280517578125,70467584.0
44,370,259.82519,762,11.935417175292969,0.03150177001953125,33824768.0
45,375,252.62004,811,12.816009521484375,0.8805923461914062,945528832.0
46,374,261.13756,787,12.816017150878906,7.62939453125e-06,8192.0
47,489,295.58019,1509,13.78216552734375,0.9661483764648438,1037393920.0
48,516,295.33509,1524,13.787406921386719,0.00524139404296875,5627904.0
49,495,296.75201,1369,13.787406921386719,0.0,0.0
50,462,294.35556,1456,13.997322082519531,0.2099151611328125,225394688.0
51,406,278.46679,951,13.997322082519531,0.0,0.0
52,405,276.82237,864,14.999382019042969,1.0020599365234375,1075953664.0
53,470,309.07869,1574,15.302360534667969,0.302978515625,325320704.0
54,415,293.67203,922,15.302360534667969,0.0,0.0
55,480,310.46865,1251,15.302360534667969,0.0,0.0
56,448,302.94276,1112,15.306129455566406,0.0037689208984375,4046848.0
57,631,332.67123,1623,16.183120727539062,0.8769912719726562,941662208.0
58,622,329.78037,1655,16.183120727539062,0.0,0.0
59,808,384.82502,2663,16.201210021972656,0.01808929443359375,19423232.0
60,791,382.53321,2647,17.237960815429688,1.0367507934570312,1113202688.0
61,579,339.54534,1845,17.51598358154297,0.27802276611328125,298524672.0
62,510,328.39775,1325,17.907127380371094,0.391143798828125,419987456.0
63,521,344.23368,1609,18.052589416503906,0.1454620361328125,156188672.0
64,498,332.71514,1206,18.052589416503906,0.0,0.0
65,491,334.36429,1164,18.04473114013672,-0.0078582763671875,-8437760.0
66,679,372.91577,2349,18.04473114013672,0.0,0.0
67,649,372.88806,2077,19.33942413330078,1.2946929931640625,1390166016.0
68,781,397.61235,2829,19.33942413330078,0.0,0.0
69,779,401.15811,2647,19.33942413330078,0.0,0.0
70,956,449.6903,3473,19.362869262695312,0.02344512939453125,25174016.0
71,1133,490.38705,4167,19.35901641845703,-0.00385284423828125,-4136960.0
72,1089,479.4381,3953,19.355758666992188,-0.00325775146484375,-3497984.0
73,1106,483.96552,3939,19.438095092773438,0.08233642578125,88408064.0
74,799,423.24918,2951,20.066574096679688,0.62847900390625,674824192.0
75,754,408.67975,2843,20.066574096679688,0.0,0.0
76,637,397.03066,1992,20.065101623535156,-0.00147247314453125,-1581056.0
77,833,442.0864,3029,20.497879028320312,0.43277740478515625,464691200.0
78,839,440.15577,3243,20.572128295898438,0.074249267578125,79724544.0
79,881,451.90164,3333,21.0919189453125,0.5197906494140625,558120960.0
80,911,469.89196,3505,21.585975646972656,0.49405670166015625,530489344.0
81,1004,482.6785,3475,22.019210815429688,0.43323516845703125,465182720.0
82,1502,569.22258,5071,23.487228393554688,1.468017578125,1576271872.0
83,1627,617.82995,5675,23.549697875976562,0.062469482421875,67076096.0
84,2033,629.11452,5907,24.12793731689453,0.5782394409179688,620879872.0
85,1434,539.6994,4855,24.12793731689453,0.0,0.0
86,1700,636.50027,5695,24.12793731689453,0.0,0.0
87,667,463.96935,1961,24.413223266601562,0.28528594970703125,306323456.0
88,898,501.64606,3555,24.413223266601562,0.0,0.0
89,730,455.39864,2235,24.465164184570312,0.05194091796875,55771136.0
90,696,480.83269,1678,24.908035278320312,0.44287109375,475529216.0
91,713,513.73591,1844,25.185386657714844,0.27735137939453125,297803776.0
92,790,510.73487,2149,25.186973571777344,0.0015869140625,1703936.0
93,1044,594.92965,4919,25.786399841308594,0.59942626953125,643629056.0
