Epoch,toast_total_bytes,delta_toast_total_bytes,delta_toast_total_gib,toast_heap_bytes,delta_toast_heap_bytes,delta_toast_heap_gib,toast_index_bytes,delta_toast_index_bytes,delta_toast_index_gib
76,21544738816,-1581056.0,-0.00147247314453125,20858380288,-1581056.0,-0.00147247314453125,680386560,0.0,0.0
77,22009430016,464691200.0,0.43277740478515625,21322940416,464560128.0,0.43265533447265625,680386560,0.0,0.0
78,22089154560,79724544.0,0.074249267578125,21402640384,79699968.0,0.07422637939453125,680386560,0.0,0.0
79,22647275520,558120960.0,0.5197906494140625,21960605696,557965312.0,0.5196456909179688,680386560,0.0,0.0
80,23177764864,530489344.0,0.49405670166015625,22445350912,484745216.0,0.45145416259765625,725999616,45613056.0,0.04248046875
81,23642947584,465182720.0,0.43323516845703125,22910394368,465043456.0,0.43310546875,725999616,0.0,0.0
82,25219219456,1576271872.0,1.468017578125,24486232064,1575837696.0,1.4676132202148438,725999616,0.0,0.0
83,25286295552,67076096.0,0.062469482421875,24553291776,67059712.0,0.0624542236328125,725999616,0.0,0.0
84,25907175424,620879872.0,0.5782394409179688,25173991424,620699648.0,0.5780715942382812,725999616,0.0,0.0
85,25907175424,0.0,0.0,25173991424,0.0,0.0,725999616,0.0,0.0
86,25907175424,0.0,0.0,25173991424,0.0,0.0,725999616,0.0,0.0
87,26213498880,306323456.0,0.28528594970703125,25480232960,306241536.0,0.28520965576171875,725999616,0.0,0.0
88,26213498880,0.0,0.0,25480232960,0.0,0.0,725999616,0.0,0.0
89,26269270016,55771136.0,0.05194091796875,25535987712,55754752.0,0.0519256591796875,725999616,0.0,0.0
90,26744799232,475529216.0,0.44287109375,26011385856,475398144.0,0.4427490234375,725999616,0.0,0.0
91,27042603008,297803776.0,0.27735137939453125,26309107712,297721856.0,0.27727508544921875,725999616,0.0,0.0
92,27044306944,1703936.0,0.0015869140625,26309107712,0.0,0.0,727703552,1703936.0,0.0015869140625
93,27687936000,643629056.0,0.59942626953125,26952564736,643457024.0,0.5992660522460938,727703552,0.0,0.0
94,28347555840,659619840.0,0.61431884765625,27611996160,659431424.0,0.6141433715820312,727703552,0.0,0.0
95,28348833792,1277952.0,0.001190185546875,27611996160,0.0,0.0,728981504,1277952.0,0.001190185546875
96,28348817408,-16384.0,-1.52587890625e-05,27611979776,-16384.0,-1.52587890625e-05,728981504,0.0,0.0
97,29730611200,1381793792.0,1.286895751953125,28993396736,1381416960.0,1.2865447998046875,728981504,0.0,0.0
98,29730611200,0.0,0.0,28993396736,0.0,0.0,728981504,0.0,0.0
99,29730611200,0.0,0.0,28993396736,0.0,0.0,728981504,0.0,0.0
100,29760430080,29818880.0,0.02777099609375,28993216512,-180224.0,-0.0001678466796875,758980608,29999104.0,0.0279388427734375
