Epoch,p95_us,avg_us,size_mean_kib,size_p50_kib,size_p75_kib,size_p90_kib,size_p95_kib,size_p99_kib,size_max_mib,pct_gt_32k,pct_gt_64k,pct_gt_128k,pct_gt_256k
18,211,149.52975,18.5546875,12.79296875,16.015625,20.80078125,27.34863281249993,59.86328125,6.600379943847656,3.64,0.8999999999999999,0.5700000000000001,0.38
19,222,153.48552,19.53125,13.4765625,16.796875,21.875,28.80859375,62.59863281250002,6.970977783203125,3.92,0.97,0.58,0.4
20,224,156.27624,20.5078125,14.16015625,17.67578125,22.94921875,30.2734375,65.82324218750006,7.331180572509766,4.49,1.0699999999999998,0.59,0.41000000000000003
21,221,155.51826,21.484375,14.74609375,18.45703125,24.12109375,31.640625,68.84863281250003,7.691478729248047,4.91,1.17,0.59,0.41000000000000003
22,231,158.05774,22.4609375,15.4296875,19.23828125,25.1953125,33.11035156249993,72.17480468750014,8.054351806640625,5.43,1.29,0.59,0.42
23,246,163.19806,23.4375,16.015625,20.1171875,26.171875,34.67285156249993,75.78417968750006,8.420753479003906,5.9799999999999995,1.44,0.62,0.43
24,244,166.15389,24.4140625,16.69921875,20.99609375,27.24609375,35.94238281249993,79.10644531250011,8.789825439453125,6.550000000000001,1.63,0.63,0.47000000000000003
25,250,172.24326,25.390625,17.3828125,21.77734375,28.22265625,37.50488281249993,82.13085937500004,9.154415130615234,7.2700000000000005,1.7500000000000002,0.66,0.5
26,264,174.83486,26.3671875,18.06640625,22.65625,29.39453125,39.0625,85.06445312500013,9.506797790527344,7.829999999999999,1.92,0.69,0.53
27,271,183.82509,27.34375,18.65234375,23.4375,30.46875,40.52734375,88.77050781250003,9.873771667480469,8.559999999999999,2.11,0.72,0.54
28,273,185.84764,28.3203125,19.3359375,24.21875,31.54296875,41.99707031249993,92.1875,10.237407684326172,9.53,2.34,0.74,0.54
29,286,191.31055,29.296875,19.921875,25.09765625,32.6171875,43.45703125,95.12402343750014,10.599327087402344,10.69,2.56,0.77,0.54
30,285,196.83973,30.2734375,20.60546875,25.9765625,33.69140625,44.921875,98.4462890625002,10.965633392333984,11.82,2.7199999999999998,0.77,0.54
31,298,204.31199,31.25,21.19140625,26.7578125,34.765625,46.09863281249993,101.95898437500013,11.32669448852539,13.200000000000001,2.9000000000000004,0.7799999999999999,0.5499999999999999
32,308,206.25986,32.2265625,21.875,27.5390625,35.751953125000036,47.65625,105.37207031250003,11.687946319580078,14.57,3.08,0.7799999999999999,0.5499999999999999
33,313,214.66556,33.203125,22.4609375,28.41796875,36.9140625,49.22363281249993,108.69531250000009,12.059688568115234,15.939999999999998,3.2,0.7799999999999999,0.5599999999999999
34,308,208.72873,34.1796875,23.14453125,29.1015625,38.0859375,50.5859375,112.20898437500004,12.4298095703125,17.95,3.3099999999999996,0.8,0.5599999999999999
35,318,217.27243,35.15625,23.828125,30.078125,39.16015625,51.95800781249993,115.53125000000009,12.795162200927734,19.81,3.42,0.8200000000000001,0.5700000000000001
36,329,226.03581,36.1328125,24.4140625,30.859375,40.234375,53.42285156249993,118.37207031250028,13.150978088378906,21.72,3.54,0.89,0.5700000000000001
37,331,227.48383,37.109375,25.09765625,31.6650390625,41.2109375,54.98046875,121.89062500000034,13.51327896118164,24.09,3.66,0.9400000000000001,0.5700000000000001
38,339,228.0929,38.0859375,25.78125,32.51953125,42.3828125,56.35253906249993,125.10546875000017,13.87033462524414,26.700000000000003,3.85,0.97,0.58
39,344,237.13518,39.0625,26.3671875,33.30078125,43.5546875,57.91503906249993,129.20117187500006,14.235877990722656,29.42,4.05,1.02,0.58
40,349,243.64771,40.0390625,27.05078125,34.08203125,44.62890625,59.57519531249993,132.22851562500006,14.599227905273438,32.08,4.279999999999999,1.06,0.58
