feature,peak_mean,local_nonpeak_mean,late_nonpeak_mean,peak_minus_local,peak_vs_local_z,peak_minus_late_nonpeak,peak_vs_late_nonpeak_z,abs_local_z
run_buffers_backend,6890658479.0,6890515511.45,6881064454.0,142967.55000019073,0.0016567915731621086,9594025.0,0.11655915935377464,0.0016567915731621086
db_buffers_backend,6890653917.4,6890512027.55,6881062723.696428,141889.8499994278,0.001644322903843785,9591193.70357132,0.11652551433122696,0.001644322903843785
extend_blks_hit,2469179589.6,2470745915.5,2359487035.642857,-1566325.9000000954,-0.0015212506707743749,109692553.95714283,0.1089661144670643,0.0015212506707743749
extend_checkpoints_req,49080.0,49081.55,48966.69642857143,-1.5500000000029104,-0.001442083386792488,113.30357142857247,0.1088367810533104,0.001442083386792488
extend_wal_fpi,4191220971.6,4191373436.1,4179802929.75,-152464.5,-0.00137942557064142,11418041.849999905,0.10681803883184987,0.00137942557064142
extend_checkpoint_write_time,1247113738.2,1247140469.7,1244850533.232143,-26731.5,-0.0012266805333595195,2263204.9678571224,0.107773118729909,0.0012266805333595195
pct_gt_128k_lag1,3.6099999999999994,3.6120000000000005,3.4214285714285713,-0.002000000000001112,-0.0012205732153283979,0.18857142857142817,0.11845084960154839,0.0012205732153283979
extend_buffers_checkpoint,986838555.6,986947295.6,977053177.4821428,-108740.0,-0.0011572078428971466,9785378.117857218,0.10583665012546917,0.0011572078428971466
db_buffers_checkpoint,987168790.8,987271448.3,977385631.5714285,-102657.5,-0.0010925140567436885,9783159.228571415,0.1058115608043746,0.0010925140567436885
run_buffers_checkpoint,987194737.0,987285553.2,977397098.4285715,-90816.20000004768,-0.000966515329430018,9797638.571428537,0.10596902936600003,0.000966515329430018
extend_wal_records,31333517575.0,31334146163.95,31255250220.94643,-628588.9500007629,-0.0008548775284693005,78267354.0535698,0.10952082518926663,0.0008548775284693005
db_checkpoints_req,49082.6,49083.5,48968.71428571428,-0.9000000000014552,-0.0008373002193192411,113.88571428571595,0.10936396501667929,0.0008373002193192411
run_checkpoints_req,49082.6,49083.5,48968.732142857145,-0.9000000000014552,-0.0008373002193192411,113.86785714285361,0.10934746371790133,0.0008373002193192411
extend_wal_bytes,26372913530785.4,26373362246813.5,26310557660206.73,-448716028.1015625,-0.0007637932036004437,62355870578.66797,0.10962787414598106,0.0007637932036004437
extend_temp_bytes,197326809.0,197540561.7,161889821.14285713,-213752.69999998808,-0.0007342690067258128,35436987.857142866,0.13704906436768538,0.0007342690067258128
run_wal_bytes,26374276007509.0,26374686004384.65,26311871466189.5,-409996875.6484375,-0.0006975890201074934,62404541319.5,0.1096656332857488,0.0006975890201074934
db_wal_bytes_gib,24562.958633133956,24563.340471701045,24504.83987444995,-0.3818385670892894,-0.0006975876017738183,58.118758684006025,0.10966563493355427,0.0006975876017738183
db_wal_bytes,26374276005577.8,26374686001617.3,26311871463619.82,-409996039.5,-0.0006975876017738183,62404541957.98047,0.10966563493355427,0.0006975876017738183
db_temp_bytes,212718668.4,212930406.45,176756604.1607143,-211738.04999998212,-0.0006876775298587158,35962064.23928571,0.13119422626754254,0.0006876775298587158
db_temp_bytes_gib,0.19810969792306424,0.19830689434893428,0.16461741566724544,-0.00019719642587004427,-0.0006876775298587158,0.033492282255818795,0.13119422626754254,0.0006876775298587158
