Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,page_cache_hits,page_cache_faults,transaction_commits,transaction_rollbacks,nodes_created,nodes_deleted,relationships_created,relationships_deleted,properties_set,index_hits,index_misses,lock_acquisition_time,lock_wait_time,checkpoint_total_time,checkpoint_total_events,log_rotation_events,log_appended_bytes,log_rotation_total_time,transaction_started,transaction_peak_concurrent,transaction_active,transaction_terminated,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us)
8,reference,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17495,2857.959416976279,50000,335.3891,161,22463,605,981,50000
8,clean-run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18127,2758.316323716004,50000,347.73408,178,22639,554,957,50000
8,avg-run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17344,2882.841328413284,50000,332.6028,156,21423,575,977,50000
9,extend,500,true,uniform,EXTEND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,21830,229.04260192395785,5000,4260.3884,1570,30559,5115,5871,5000
9,run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18207,2746.1965178228156,50000,349.72758,168,60831,562,935,50000
9,reference,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18398,2717.6867050766386,50000,353.67312,174,55967,598,976,50000
9,clean-run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18100,2762.4309392265195,50000,347.54834,171,22335,544,959,50000
9,avg-run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18441,2711.349709885581,50000,354.22612,178,21455,617,1010,50000
10,extend,500,true,uniform,EXTEND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,21983,227.44848291861894,5000,4293.5146,1657,37439,5091,5867,5000
10,run,500,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18343,2725.835468571117,50000,352.46188,175,60415,580,976,50000
