Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,page_cache_hits,page_cache_faults,transaction_commits,transaction_rollbacks,nodes_created,nodes_deleted,relationships_created,relationships_deleted,properties_set,index_hits,index_misses,lock_acquisition_time,lock_wait_time,checkpoint_total_time,checkpoint_total_events,log_rotation_events,log_appended_bytes,log_rotation_total_time,transaction_started,transaction_peak_concurrent,transaction_active,transaction_terminated,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us)
13,run,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17972,2782.105497440463,50000,344.76856,178,79231,579,959,50000
13,reference,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17173,2911.54719618005,50000,328.84286,166,88575,562,957,50000
13,clean-run,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17680,2828.054298642534,50000,338.76156,174,45343,516,932,50000
13,avg-run,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18012,2775.92715967133,50000,345.39004,180,21343,557,997,50000
14,extend,5000,true,uniform,EXTEND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,205949,242.77855197160463,50000,4103.13522,1519,37471,4723,5091,50000
14,run,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18347,2725.24118384477,50000,351.75902,180,125375,597,935,50000
14,reference,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17494,2858.122784954842,50000,335.1533,173,93951,569,976,50000
14,clean-run,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17875,2797.2027972027972,50000,342.87894,170,47455,563,957,50000
14,avg-run,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17918,2790.490010045764,50000,343.73,182,21647,541,953,50000
15,extend,5000,true,uniform,EXTEND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,207364,241.12189193881292,50000,4131.35646,1494,37055,4743,5103,50000
15,run,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18278,2735.529051318525,50000,350.85116,178,100415,571,945,50000
15,reference,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17484,2859.7574925646304,50000,334.99138,160,161919,548,974,50000
15,clean-run,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18285,2734.4818156959254,50000,350.9645,183,83775,589,973,50000
15,avg-run,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18383,2719.90425937007,50000,352.88408,165,22655,631,1000,50000
16,extend,5000,true,uniform,EXTEND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,208111,240.2564016318215,50000,4146.2074,1558,35967,4767,5123,50000
16,run,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18712,2672.082086361693,50000,359.74,186,101567,620,966,50000
16,reference,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18425,2713.70420624152,50000,353.67172,180,93119,566,975,50000
16,clean-run,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18356,2723.904990193942,50000,352.79016,185,42431,600,987,50000
16,avg-run,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18313,2730.300879156883,50000,351.81082,171,20975,539,990,50000
17,extend,5000,true,uniform,EXTEND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,209032,239.19782617015576,50000,4164.8935,1506,35647,4787,5135,50000
17,run,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18756,2665.8136063126467,50000,360.0866,188,84159,624,965,50000
17,reference,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18517,2700.221418156289,50000,355.85014,173,109567,604,963,50000
17,clean-run,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18317,2729.7046459573075,50000,351.51242,192,47871,542,985,50000
