Epoch,Phase,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),WatcherSamples,WatcherCPU_min,WatcherCPU_q1,WatcherCPU_median,WatcherCPU_q3,WatcherCPU_max,WatcherMemoryKB_min,WatcherMemoryKB_q1,WatcherMemoryKB_median,WatcherMemoryKB_q3,WatcherMemoryKB_max
34,reference,READ,28635,10304583,4303000,3445189,10119,1,0,0,0,681,43085,440907229,561468361,6459958133,11831776009,1128331997,169019567,23111539448968,27167874804,3590397178,79726323,4649,21510.00215100021,100000,41.51217,26,17439,54,85,4,30.0,44.025000000000006,51.5,54.5,55.1,78040.0,78052.0,78056.0,78056.0,78056.0
35,reference,READ,30330,10605987,4434034,3546564,10119,1,0,0,0,681,43113,443788483,561518500,6461464698,11833060027,1128838930,169038142,23126823462993,27188354993,3593175699,79739331,4300,23255.81395348837,100000,38.038,26,15935,50,86,4,31.8,44.475,50.75,53.675,56.3,84132.0,84144.0,84148.0,84148.0,84148.0
36,reference,READ,32027,10907316,4564178,3647925,10119,1,0,0,0,681,43142,446955304,561562859,6463057548,11834417573,1129375899,169056859,23142635577433,27209425480,3596305566,79752547,4315,23174.97103128621,100000,38.45833,26,12775,54,89,4,32.2,43.975,51.5,55.7,57.5,61676.0,61706.0,61716.0,61716.0,61716.0
37,reference,READ,33724,11208645,4694322,3749286,10119,1,0,0,0,681,43171,450039258,561624794,6464742077,11835826853,1129871699,169075856,23158506553704,27230620797,3598767782,79767388,4232,23629.489603024576,100000,37.28117,26,14255,54,90,4,29.3,44.375,51.9,55.4,58.4,60516.0,60540.0,60548.0,60548.0,60548.0
38,reference,READ,35435,11509960,4824466,3850647,10119,1,0,0,0,681,43201,453088679,561681709,6466550082,11837409793,1130516451,169102836,23174988158710,27252685189,3601003864,79782643,4456,22441.65170556553,100000,39.47999,26,15743,54,89,4,29.6,42.8,49.55,52.65,54.9,89756.0,89822.0,89844.0,89844.0,89844.0
39,reference,READ,37148,11811419,4956390,3952036,10119,1,0,0,0,681,43232,456341123,561744326,6468379395,11838899459,1130976879,169131384,23191987550783,27275246544,3604072163,79797560,4471,22366.360993066428,100000,39.97381,26,13439,53,88,4,31.8,44.475,50.5,53.05,55.3,67772.0,67784.0,67788.0,67788.0,67788.0
40,reference,READ,38875,12112791,5087424,4053411,10119,1,0,0,0,681,43263,459509725,561799827,6470573053,11840429242,1131634349,169165851,23209071124885,27298462584,3606344252,79813343,4712,21222.410865874364,100000,42.27322,27,14279,55,88,4,31.4,44.375,50.150000000000006,52.325,54.5,87856.0,87904.0,87920.0,87920.0,87920.0
41,reference,READ,40586,12414252,5219348,4154800,10119,1,0,0,0,681,43296,463018380,561863272,6472652256,11842185323,1132154355,169199005,23227090335635,27322432513,3609907118,79828456,4407,22691.17313365101,100000,38.78453,24,14711,55,97,4,28.5,43.05,51.75,56.0,57.2,61008.0,61062.0,61080.0,61080.0,61080.0
42,reference,READ,42297,12715713,5351272,4256189,10119,1,0,0,0,681,43330,466208580,561918405,6474720480,11843861913,1132795223,169222023,23245519791666,27346958933,3613485679,79843559,4427,22588.6604924328,100000,38.99719,26,15751,51,86,4,28.8,43.35,50.55,53.325,54.6,60544.0,60562.0,60568.0,60568.0,60568.0
43,reference,READ,44036,13017146,5483196,4357578,10119,1,0,0,0,681,43365,469610492,561987218,6476922740,11845723563,1133461262,169244234,23264337062256,27372008661,3616361295,79859171,4169,23986.56752218757,100000,36.88516,24,12999,53,105,4,33.3,45.375,52.3,56.0,58.4,70352.0,70364.0,70368.0,70368.0,70368.0
44,reference,READ,45747,13318753,5616900,4458995,10119,1,0,0,0,681,43401,473251840,562062116,6479209058,11847458751,1134116455,169266674,23283732917200,27397733847,3619421058,79874191,4325,23121.387283237,100000,38.45489,26,13695,54,104,4,31.4,44.15,51.35,55.15,57.7,62952.0,62952.0,62952.0,62952.0,62952.0
