Epoch,Phase,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),WatcherSamples,WatcherCPU_min,WatcherCPU_q1,WatcherCPU_median,WatcherCPU_q3,WatcherCPU_max,WatcherMemoryKB_min,WatcherMemoryKB_q1,WatcherMemoryKB_median,WatcherMemoryKB_q3,WatcherMemoryKB_max
34,avg-run,READ,55,12287833,5441966,5390067,448842,16,64,4,393216,681,43087,441260452,561477308,6460057420,11831878513,1128441283,169019579,23112329078597,27168868848,3590398219,79739331,20992,4763.719512195122,100000,205.14455,168,16719,236,354,19,37.6,82.9,87.4,89.6,93.7,325640.0,1152264.0,1212980.0,1217858.0,2101516.0
35,avg-run,READ,55,12330922,5464289,5412390,454878,16,46,4,393216,681,43115,444162386,561527186,6461565540,11833164028,1128953721,169038161,23127634287370,27189362548,3593176733,79752547,20855,4795.013186286263,100000,203.43148,165,18671,238,355,19,34.4,81.75,86.4,88.80000000000001,94.4,383912.0,1690278.0,1806628.0,1817098.0,3295196.0
36,avg-run,READ,55,12302755,5608186,5556290,460915,12,0,4,393216,681,43144,447336702,561576867,6463159962,11834523086,1129487494,169063479,23143464464289,27210394904,3596306600,79767388,20919,4780.3432286438165,100000,204.39937,167,16463,237,354,19,37.2,81.6,87.8,88.75,92.7,252800.0,681770.0,697324.0,697370.0,1330508.0
37,avg-run,READ,55,12336530,5605326,5553430,466695,5,0,4,393216,681,43173,450443638,561638233,6464846030,11835933830,1130011959,169079299,23159356574907,27231601815,3598768802,79782643,21313,4691.972035846667,100000,208.34266,173,17151,248,372,20,36.1,84.75,87.0,88.625,89.4,231364.0,571936.0,573012.0,573073.0,972572.0
38,avg-run,READ,55,12377987,5620528,5568632,472432,5,0,4,393216,681,43203,453546296,561691645,6466655624,11837518271,1130547706,169102845,23175859341941,27253677657,3601004884,79797560,21398,4673.333956444528,100000,208.73424,172,18751,239,358,20,32.6,81.95,87.4,88.95,90.5,229708.0,631996.0,641752.0,641955.0,864388.0
39,avg-run,READ,55,13244950,6925840,6873941,578104,16,12,4,393216,681,43234,456673954,561752884,6468503462,11839026398,1131100883,169137704,23192897595642,27276523499,3604073186,79812794,25342,3946.018467366427,100000,248.25379,204,20079,277,423,24,32.9,85.15,90.6,91.525,95.3,225396.0,735610.0,746650.0,746744.0,1413396.0
40,avg-run,READ,55,13179040,6994244,6942353,583614,5,0,0,0,681,43265,459985078,561809088,6470698682,11840557641,1131667957,169165873,23209998877472,27299694426,3606345264,79828456,26627,3755.586434821797,100000,261.5186,218,17615,295,431,25,40.8,88.4,90.5,91.5,92.4,255336.0,789628.0,792492.0,792596.0,1156004.0
41,avg-run,READ,55,13227456,7080862,7028971,588891,5,0,0,0,681,43298,463248180,561871657,6472779428,11842315200,1132285488,169199032,23228039032933,27323672318,3609908129,79843559,27050,3696.857670979667,100000,265.44218,223,20031,290,454,26,5.8,84.6,89.65,91.2,92.0,274984.0,1221501.0,1290694.0,1296098.0,1296416.0
42,avg-run,READ,55,13407368,7141191,7089297,594138,16,2,0,0,681,43332,466499040,561929016,6474849226,11843993300,1132899063,169222049,23246493354794,27348272417,3613486694,79859171,27493,3637.289491870658,100000,269.71775,228,20207,297,464,26,35.8,88.35,90.2,91.35,95.7,279176.0,1391591.0,1407742.0,1408713.0,2608308.0
43,avg-run,READ,55,13329178,7199216,7147325,599333,5,0,0,0,681,43367,470001807,562000668,6477052984,11845856387,1133543264,169244255,23265328107391,27373272075,3616362303,79873829,27810,3595.828838547285,100000,272.82443,234,17215,300,447,26,33.3,86.1,89.35,90.975,91.7,257204.0,1046090.0,1069224.0,1070908.0,1709408.0
44,avg-run,READ,55,13379558,7295201,7243310,604344,5,0,0,0,681,43403,473610502,562074564,6479340885,11847593077,1134265520,169266703,23284745017671,27399007331,3619422066,79889797,27879,3586.9292298862943,100000,273.60676,235,20767,299,433,27,3.8,84.5,89.3,91.0,91.7,169160.0,1547548.0,1656588.0,1664604.0,1665444.0
45,avg-run,READ,55,13396016,7305318,7253427,609358,5,0,0,0,681,43439,477225564,562150210,6481734631,11849328950,1134863996,169310357,23304561945541,27425173922,3623172355,79905539,28659,3489.305279318888,100000,281.65034,238,18399,308,486,27,38.3,85.5,89.8,91.15,91.8,358620.0,1690642.0,1775192.0,1783044.0,1783624.0
46,avg-run,READ,55,13433342,7440368,7388477,614340,5,0,0,0,681,43477,480876982,562187742,6484424304,11851164288,1135536205,169367976,23324952215950,27452093698,3627207424,79923422,28849,3466.324655967278,100000,283.67277,241,17951,308,479,27,37.8,86.4,89.8,90.95,91.7,290920.0,1366200.0,1423888.0,1428382.0,1428556.0
47,avg-run,READ,55,13455727,7408104,7356213,619356,5,0,0,0,681,43515,483999838,562272452,6487480768,11853224586,1136204882,169423695,23345537574862,27479387693,3631045052,79938178,28847,3466.564980760564,100000,283.2396,240,20287,308,484,27,34.7,86.30000000000001,90.1,91.65,92.4,232940.0,982412.0,1008156.0,1010348.0,1010520.0
48,avg-run,READ,55,13495114,7533746,7481855,624221,5,0,0,0,681,43555,487117361,562369268,6490646318,11855339349,1136913242,169482452,23366628088464,27507242714,3634909894,79952931,29314,3411.339291805963,100000,287.87186,246,21807,313,498,27,32.2,86.05,90.2,91.65,92.4,202604.0,793806.0,809132.0,810220.0,810392.0
49,avg-run,READ,55,13858338,7507177,7455286,629095,5,0,0,0,681,43595,490477660,562462085,6493498861,11857498962,1137656629,169538697,23388269575253,27535801273,3638941075,79968488,30001,3333.2222259258024,100000,294.70498,242,21055,320,515,28,34.7,86.7,90.45,91.925,92.6,222124.0,886380.0,906524.0,907374.0,907548.0
50,avg-run,READ,55,13906609,7653480,7601589,634072,5,0,0,0,681,43636,494618689,562519832,6496156551,11859674747,1138482470,169582103,23410312532661,27564554879,3643302291,79984332,30261,3304.583457255213,100000,297.37677,249,21887,325,490,28,36.1,86.7,90.75,92.225,92.9,240236.0,920390.0,938486.0,939372.0,939548.0
51,avg-run,READ,55,13905685,7667296,7615405,639038,5,0,0,0,681,43678,498503017,562609135,6498971227,11861927597,1139283555,169624560,23433115029940,27594379577,3647454496,79999996,30327,3297.391763115376,100000,298.13394,251,21071,325,472,28,36.5,86.925,90.4,91.85,92.6,257456.0,999605.0,1024360.0,1025628.0,1025952.0
52,avg-run,READ,55,13939788,7781019,7729128,644010,5,0,0,0,681,43720,502125314,562699125,6502702050,11864197898,1140156200,169696581,23456094174627,27624508593,3651969295,80014802,30730,3254.149040026033,100000,302.08211,256,18319,328,498,29,35.1,86.8,90.4,91.8,92.6,246324.0,1006068.0,1031092.0,1032928.0,1033124.0
53,avg-run,READ,55,13894207,7849756,7797865,649062,5,0,0,0,681,43763,505571787,562806744,6506395353,11866499156,1141021179,169752356,23479451282328,27655012588,3656512789,80031788,31345,3190.3014834901896,100000,308.31942,257,22367,335,525,29,34.0,86.6,90.1,91.5,92.2,232820.0,1140456.0,1185332.0,1188980.0,1189228.0
54,avg-run,READ,55,13885495,7873967,7822076,654132,5,0,0,0,681,43807,509362661,562908365,6509444752,11868862384,1141871606,169799950,23503375425239,27686140600,3661124441,80070818,31489,3175.712153450412,100000,309.83024,263,20623,334,497,29,34.7,86.7,89.9,91.5,92.1,256120.0,1334072.0,1391340.0,1395512.0,1396012.0
55,avg-run,READ,55,13961436,8039666,7987775,659299,5,0,0,0,681,43852,513253728,563012517,6512695109,11871274455,1142741605,169856249,23527882615621,27717972178,3665964183,80085804,31830,3141.690229343387,100000,313.34006,264,18319,340,520,30,38.0,87.9,91.25,92.475,93.2,280524.0,1542091.0,1613238.0,1617988.0,1618404.0
56,avg-run,READ,55,13938631,7907540,7855649,664491,5,0,0,0,681,43898,517297590,563060125,6516235992,11873709236,1143665840,169922651,23552743192433,27750130811,3670853142,80102104,32229,3102.7956188525864,100000,316.98424,274,23471,344,531,30,33.6,87.60000000000001,91.15,92.475,93.2,263384.0,1511840.0,1592406.0,1597744.0,1598408.0
57,avg-run,READ,55,13985481,8078901,8027010,669906,5,0,0,0,681,43945,522030527,563172416,6519552564,11876207911,1144629155,169956420,23578320024759,27783018861,3675889794,80134697,32514,3075.598203850649,100000,320.25798,275,19423,346,526,30,36.5,87.9,91.2,92.45,93.1,286708.0,1640318.0,1723590.0,1731159.0,1731568.0
58,avg-run,READ,55,14023100,8101491,8049600,675288,5,0,0,0,681,43992,526616738,563252907,6522750022,11878561995,1145579929,169989082,23604073040086,27816096294,3680946777,80150617,32937,3036.0992197225005,100000,324.11665,273,19039,350,531,31,35.1,88.1,91.2,92.55,93.2,283524.0,1683822.0,1769828.0,1776804.0,1777508.0
59,avg-run,READ,55,13737062,9349229,9297258,780694,22,0,0,0,681,44041,531241631,563352494,6526187312,11881198782,1146536250,170037450,23630710004291,27850377956,3686180353,80188698,33573,2978.583981175349,100000,330.64282,285,19407,358,525,31,36.6,88.80000000000001,92.0,93.05,93.6,276292.0,1531674.0,1606076.0,1611136.0,1611452.0
60,avg-run,READ,55,13752334,9440286,9388395,786125,5,0,0,0,681,44091,536218524,563419090,6529695648,11883868957,1147563654,170075137,23657788185832,27885171310,3691492488,80206041,34125,2930.4029304029305,100000,335.8283,285,19007,360,551,32,32.2,87.625,91.25,92.55,93.3,219976.0,1152000.0,1194988.0,1197463.0,1197956.0
61,avg-run,READ,55,13759912,9488796,9436905,791654,5,0,0,0,681,44142,541091085,563500899,6533327251,11886580365,1148601729,170132441,23685395160008,27920623598,3696903491,80223999,34372,2909.3448155475385,100000,338.45723,292,19103,366,534,32,36.5,88.3,91.35,92.525,93.3,259144.0,1237724.0,1287842.0,1291884.0,1292224.0
62,avg-run,READ,55,13829825,9609818,9557927,797173,12,0,0,0,681,44193,545939223,563580912,6536937771,11889298055,1149628953,170179916,23713098540210,27956122963,3702316606,80238378,34717,2880.4332171558603,100000,342.15562,294,22911,369,570,32,36.5,87.7,91.15,92.425,93.1,239944.0,1282883.0,1340948.0,1346198.0,1346432.0
63,avg-run,READ,55,13849282,9691408,9639517,802628,5,0,0,0,681,44246,551010020,563652478,6540761227,11892096795,1150706537,170236913,23741765152552,27992810650,3707925502,80276102,37427,2671.867902850883,100000,368.99635,312,23919,396,597,35,35.4,88.9,92.0,93.35,93.9,225224.0,1315638.0,1373968.0,1379156.0,1379424.0
64,avg-run,READ,55,13874622,9783046,9731155,808251,5,0,0,0,681,44299,555796995,563719529,6544602644,11894892398,1151777616,170303808,23770504011784,28029471097,3713534858,80294078,37898,2638.66167080057,100000,373.69545,315,22863,405,591,35,34.4,88.65,92.2,93.3,93.9,239172.0,1396944.0,1464712.0,1470190.0,1470636.0
65,avg-run,READ,55,13997435,9746156,9693388,813780,16,2,0,0,681,44353,560589511,563796790,6548790814,11897785436,1152845420,170379518,23800223034039,28067564277,3719219599,80309608,38523,2595.8518287776133,100000,380.0788,324,19071,412,601,36,34.7,89.35,92.4,93.625,107.1,308060.0,2082330.0,2208638.0,2218937.0,2927680.0
66,avg-run,READ,55,13918880,9872664,9820773,819249,5,0,0,0,681,44407,565213131,563901779,6553020668,11900681030,1153946847,170449555,23829879792211,28105369701,3724916900,80323222,38857,2573.538873304681,100000,383.13278,333,21983,414,593,36,35.7,89.05,92.25,93.325,104.5,270440.0,1662904.0,1753774.0,1763333.0,2164168.0
67,avg-run,READ,55,14072980,9906992,9854224,824741,16,2,0,0,681,44462,569992585,563967089,6557134095,11903592553,1155032299,170520067,23859878882667,28143456774,3730763283,80338280,39021,2562.7226365290485,100000,384.8486,329,21887,416,620,37,14.5,89.0,92.2,93.4,98.1,136792.0,1906712.0,2029392.0,2038488.0,3083264.0
68,avg-run,READ,55,14116810,10016275,9963507,830150,16,2,0,0,681,44519,575155014,564025861,6561322211,11906598112,1156195845,170581918,23890859353756,28182789215,3736799414,80352816,39617,2524.168917383952,100000,390.85451,337,23903,421,614,37,32.9,89.0,92.1,93.5,102.2,268952.0,1958232.0,2075952.0,2085976.0,3287904.0
69,avg-run,READ,55,14124842,9989047,9936279,835599,16,1,0,0,681,44576,580355482,564089314,6565468894,11909583391,1157351269,170636624,23921727647586,28221768529,3742703752,80369500,40030,2498.126405196103,100000,395.26494,342,19471,428,600,38,35.9,89.15,92.15,93.35,102.7,305188.0,2161412.0,2287108.0,2298911.0,3407112.0
70,avg-run,READ,55,14173991,10128341,10075573,841062,16,2,0,0,681,44635,586075482,564160634,6569520777,11912660190,1158557867,170682816,23953923276386,28262414867,3748946271,80391323,37741,2649.638324368724,100000,372.23752,323,19935,403,589,35,34.0,87.80000000000001,91.3,92.5,103.0,244892.0,1543278.0,1619828.0,1625246.0,2292476.0
71,avg-run,READ,55,14195548,10154150,10101382,846319,16,2,0,0,681,44694,591212471,564227347,6574060256,11915791626,1159789548,170759532,23986104339931,28302995331,3755190458,80408464,38188,2618.62365140882,100000,376.90017,320,19647,409,591,36,38.7,89.775,92.7,93.825,108.4,274336.0,1514147.0,1586046.0,1591032.0,2417020.0
72,avg-run,READ,55,14229788,10223666,10170898,851636,16,1,0,0,681,44754,596320538,564385661,6578573049,11918984302,1160945227,170822485,24018935056570,28344307203,3761556639,80423738,38347,2607.7659269303986,100000,378.14861,317,24335,408,600,36,33.3,89.325,92.5,93.725,100.1,227844.0,1392199.0,1458180.0,1463281.0,2239592.0
73,avg-run,READ,55,14252476,10252572,10199804,856882,16,2,0,0,681,44815,601434437,564498510,6583164898,11922208076,1162163297,170899275,24052076652783,28385981796,3767982651,80442486,38869,2572.744346394298,100000,383.41985,332,22895,415,605,36,34.8,89.5,92.6,93.725,109.2,212400.0,1200788.0,1250964.0,1254728.0,1805104.0
