Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,CPU,Memory,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
8,extend,10000,true,zipfian,EXTEND,4.9,16.5,2,55704775,16539022,15971301,4916339,800276,4827025,0,0,0,735,22582,1886837499,32024328,1059482459,905312215,616135748,14478114,11975642743314,14222070484,1815672511,37046216,0,0,0,0,1,192982,518.1830429781016,100000,1920.70355,388,16399,5559,9207,100000
8,run,10000,true,uniform,READ,0.3,9.1,2,60046122,17629020,17039976,4916980,800298,4827656,0,0,0,735,22582,1886837499,32024328,1059482459,905312295,616135748,14478114,11975721502807,14222517016,1815761240,37046216,1,0,0,0,0,14420,6934.812760055478,100000,139.13013,45,26655,460,598,100000
8,reference,10000,true,uniform,READ,0.3,9.1,1,2460819,995796,811007,10119,1,0,0,0,0,735,22582,1886837499,32024328,1059482459,905312295,616135748,14478114,11975721502807,14222517016,1815761240,37046216,1,0,0,0,0,4399,22732.439190725167,100000,39.1636,25,12487,53,93,100000
8,clean-run,10000,true,uniform,READ,0.3,9.3,390,2899149,929501,918532,87716,1,0,0,4,385024,735,22583,1886975709,32024328,1059483808,905326250,616143373,14478152,11975833825343,14222689975,1815762229,37053366,1,0,0,0,0,10795,9263.547938860584,100000,103.00617,41,16911,343,530,100000
8,avg-run,10000,true,uniform,READ,0.3,9.3,392,6952778,2188327,2137305,177716,5,0,0,4,385024,735,22583,1886975709,32024328,1059483808,905339051,616143373,14478152,11975939032749,14222880632,1815762316,37053366,1,0,0,0,0,9332,10715.816545220745,100000,88.34097,57,16911,151,423,100000
9,extend,10000,true,zipfian,EXTEND,3.4,20.1,2,68406058,20503165,19860109,6191481,900320,6097057,0,0,0,735,22589,1887595546,32024328,1059552904,905384503,616307958,14478637,11979399282922,14227629312,1816141396,37053366,0,0,0,0,1,201523,496.221274990944,100000,2006.19323,386,99967,6247,10015,100000
9,run,10000,true,uniform,READ,0.4,11,2,73072431,21641030,20975775,6192151,900342,6097721,0,0,0,735,22589,1887595546,32024328,1059552904,905384709,616307958,14478637,11979556059451,14228238268,1816347516,37053479,1,0,0,0,0,15637,6395.088571976722,100000,151.07872,45,19823,478,612,100000
9,reference,10000,true,uniform,READ,0.4,11,1,2763480,1121490,912298,10119,1,0,0,0,0,735,22589,1887595546,32024328,1059552904,905384709,616307958,14478637,11979556059451,14228238268,1816347516,37053479,1,0,0,0,0,4611,21687.26957276079,100000,41.23969,25,12231,55,102,100000
9,clean-run,10000,true,uniform,READ,0.4,11.6,309,3021791,972724,961755,92971,1,0,0,4,385024,735,22590,1887779629,32024328,1059553558,905399999,616318479,14478673,11979679643803,14228423130,1816348505,37054615,1,0,0,0,0,12175,8213.552361396303,100000,116.63288,46,18255,385,557,100000
9,avg-run,10000,true,uniform,READ,0.4,11.6,311,7508614,2362124,2311102,192971,5,0,0,4,385024,735,22590,1887779629,32024328,1059553558,905414853,616318479,14478673,11979796287390,14228633486,1816348507,37054615,1,0,0,0,0,10182,9821.253191907288,100000,96.82487,59,14383,292,466,100000
10,extend,10000,true,zipfian,EXTEND,4.4,21.9,2,82196797,24752374,24034062,7587051,1000364,7487994,0,0,0,735,22597,1888558406,32024328,1059592160,905425979,616469737,14478802,11983692676778,14233897291,1816903797,37054615,0,0,0,0,1,205769,485.98185343759263,100000,2048.28772,365,15007,6715,10671,100000
10,run,10000,true,uniform,READ,0.4,12.2,2,86926534,25931739,25192104,7587755,1000386,7488689,0,0,0,735,22597,1888569669,32024328,1059592248,905426066,616469737,14478802,11983828102013,14234444014,1817084726,37054615,1,0,0,0,0,15879,6297.625795075257,100000,153.43192,51,20767,463,612,100000
10,reference,10000,true,uniform,READ,0.4,12.2,1,3066068,1246294,1013575,10119,1,0,0,0,0,735,22597,1888569713,32024328,1059592248,905426066,616469737,14478802,11983828102013,14234444014,1817084726,37054615,1,0,0,0,0,3909,25581.990278843696,100000,34.58922,25,12391,49,81,100000
10,clean-run,10000,true,uniform,READ,0.4,12.3,313,3124183,1017205,1006236,97742,1,0,0,4,385024,735,22598,1888742944,32024328,1059592249,905442740,616520880,14478834,11983962928123,14234640156,1817085811,37064103,1,0,0,0,0,11735,8521.516829995739,100000,112.23769,47,61503,346,535,100000
10,avg-run,10000,true,uniform,READ,0.4,12.3,315,7628664,2416203,2365181,197742,5,0,0,4,385024,735,22598,1888742944,32024328,1059592249,905457594,616520880,14478834,11984089571686,14234850512,1817085813,37064103,1,0,0,0,0,12434,8042.464211034261,100000,119.22536,62,14567,359,522,100000
11,extend,10000,true,zipfian,EXTEND,4.9,22.7,2,97082592,29351040,28557981,9118512,1100419,9014987,0,0,0,735,22606,1889598127,32024328,1059648213,905484693,616685165,14479127,11988419521857,14240686679,1817765756,37064103,0,0,0,0,1,210221,475.68986923285496,100000,2093.49379,376,51871,7239,11559,100000
11,run,10000,true,uniform,READ,0.5,13.6,2,101782890,30578680,29764298,9119236,1100441,9015711,0,0,0,735,22606,1889614049,32024328,1059648213,905484693,616685165,14479127,11988548167428,14241198185,1817936348,37065989,1,0,0,0,0,17164,5826.147751106968,100000,166.02608,51,24735,468,619,100000
11,reference,10000,true,uniform,READ,0.5,13.6,1,3368729,1371988,1114866,10119,1,0,0,0,0,735,22606,1889614096,32024328,1059648213,905484693,616685165,14479127,11988548167428,14241198185,1817936348,37065989,1,0,0,0,0,4339,23046.784973496196,100000,38.93833,25,11911,52,97,100000
11,clean-run,10000,true,uniform,READ,0.5,13.6,245,3221818,1093394,1082425,102345,18,0,0,4,385024,735,22607,1889789409,32024328,1059648214,905502692,616731103,14479168,11988694143887,14241404968,1817937435,37076701,1,0,0,0,0,14901,6710.958996040534,100000,144.01267,47,25679,432,593,100000
11,avg-run,10000,true,uniform,READ,0.5,13.6,247,7747599,2501638,2450616,202345,22,0,0,4,385024,735,22607,1889789409,32024328,1059648214,905520021,616731103,14479168,11988830787470,14241615324,1817937437,37076701,1,0,0,0,0,12695,7877.116975187081,100000,121.78309,65,14695,366,532,100000
12,extend,10000,true,zipfian,EXTEND,3.2,27.9,2,112264578,34315533,33446728,10814782,1200474,10706896,0,0,0,735,22616,1890721592,32024328,1059707557,905546698,616902401,14479400,11993505377641,14247687724,1818416757,37076701,0,0,0,0,1,210938,474.07295034559917,100000,2100.24124,383,102783,7747,12487,100000
12,run,10000,true,uniform,READ,0.6,15.1,2,117503624,35589685,34699557,10815527,1200496,10707640,0,0,0,735,22616,1890740904,32024328,1059707557,905546704,616902401,14479400,11993777730529,14248598884,1818831735,37079661,1,0,0,0,0,18129,5516.024049864857,100000,175.75865,54,27263,472,628,100000
12,reference,10000,true,uniform,READ,0.6,15.1,1,3671390,1497682,1216157,10119,1,0,0,0,0,735,22616,1890740951,32024328,1059707557,905546704,616902401,14479400,11993777730529,14248598884,1818831735,37079661,1,0,0,0,0,4258,23485.204321277593,100000,37.81745,24,11559,51,85,100000
12,clean-run,10000,true,uniform,READ,0.7,15.1,181,3290577,1101638,1090669,106867,1,0,0,4,385024,735,22617,1890955772,32024328,1059707558,905566051,616947659,14479452,11993934844019,14248816126,1818832825,37088645,1,0,0,0,0,13226,7560.864962951761,100000,127.38821,50,26847,374,564,100000
12,avg-run,10000,true,uniform,READ,0.7,15.1,183,7830090,2518970,2467948,206867,5,0,0,4,385024,735,22617,1890955772,32024328,1059707558,905583380,616947659,14479452,11994081487602,14249026482,1818832827,37088645,1,0,0,0,0,11993,8338.197281747685,100000,114.8556,68,14671,339,495,100000
13,extend,10000,true,zipfian,EXTEND,41.4,25.3,2,128631454,39607479,38665033,12657455,1300529,12545074,0,0,0,735,22627,1891832980,32024328,1059809773,905651376,617137260,14481093,11999242085971,14255608922,1819422457,37088645,0,0,0,0,1,224174,446.08206125598866,100000,2232.40472,374,497663,8115,13215,100000
13,run,10000,true,uniform,READ,0.7,16.3,2,133765248,40888680,39924911,12658220,1300551,12545838,0,0,0,735,22627,1891876028,32024328,1059809872,905651686,617137260,14481093,11999465676719,14256536522,1819794914,37096827,1,0,0,0,0,16832,5941.06463878327,100000,162.83559,57,38271,441,612,100000
13,reference,10000,true,uniform,READ,0.7,16.3,1,3974051,1623376,1317448,10119,1,0,0,0,0,735,22627,1891876075,32024328,1059809872,905651686,617137260,14481093,11999465676769,14256536523,1819794914,37096827,1,0,0,0,0,4358,22946.305644791188,100000,39.10895,24,12415,52,84,100000
13,clean-run,10000,true,uniform,READ,0.7,18.4,117,3365244,1163673,1152704,111452,1,0,0,4,385024,735,22628,1892172770,32024328,1059809873,905672404,617181603,14481144,11999633871093,14256763930,1819795903,37114566,1,0,0,0,0,14685,6809.669731018045,100000,141.76248,52,26655,405,588,100000
