Key,Run1
user8637665132542722587,2100
user7450949526760075524,1800
user8049444314573886243,2200
user8859154528474724784,2000
user185988782284121138,1800
user1960583560741305980,1800
user2051354451997034517,1900
user50460765512123115,1600
user3826167545672061242,2500
user8647597457093398397,1800
user175714812439146763,1900
user4067084960269731293,2200
user3956449419912651136,2500
user3570413309286605817,1800
user9100071943072394835,2200
user638681583480959459,1600
user398105814177587973,2300
user1820151046732198393,1700
user5585365541829320262,1700
user4404237723872379893,2200
user4539424095350079351,1700
user6063510779953216897,1700
user2519225720275956777,2400
user8396187757432912088,2200
user4424102372973731513,1700
user291596495327635049,1800
user4760913491282081548,1900
user8265687567974480311,2000
user6757680956259865717,1800
user5228908089637460490,1800
user5238840414188136300,1900
user4741608802692870376,2400
user4635659444355057900,2000
user7345341813716561613,1700
user3237168451973242567,1900
user2066532919079118456,2300
user764837236214422120,2400
user6877907175873323119,2500
user9125182734705154584,1800
user7471155821155725709,1800
user7109452226432457808,1700
user3458657847905244764,1500
user1357744236202526145,2000
user3815675260609244984,2100
user5927764447963376991,1900
user6983856534211135595,1600
user5937696772514052801,1900
user3233260545683957217,1400
user4052684768917629685,2100
user7229678446045915210,2400
user2172140632122632367,2600
user7581791361512805866,2300
user7577105179493538185,1600
user6290028003198785340,2500
user2876024817762115114,1800
user7350587956247969742,2000
user769523418233689801,1900
user6520889763169322899,2100
user4871890676933460270,1900
user3941830913342707645,2300
user7707045408439829514,1800
user8637323487248424022,2200
user8768165322001154364,2400
user1222216219430528122,1800
user990234538435709667,2000
user3714753729584998754,1900
user407478178216123335,2400
user6285000175885219094,1800
user3348923913354603620,2100
user3483550324320162630,2000
user7229460130828073327,2000
user4630413301823649771,2100
user7350027995735829294,2200
user3937144731323439964,1800
user6400663543555865497,2000
user296282677346902730,1800
user663014099383736877,2400
user2780007783974978448,2400
user291378180109793166,2100
user1925758759775712304,1900
user2538312093647326066,2000
user2177168459436198613,2100
user8401215584746478334,1600
user4626287080316522538,2300
user7340655631697293932,2000
user7008189050113913013,2500
user3821263048434951678,2100
user8391501575413644407,2000
user1950651236190630170,2100
user3831195372985627488,2300
user5107998579435405958,2000
user7576203573687099172,1700
user6188764826880240545,2000
user5585925502341460710,2400
user3102200395713384992,2500
user5479976144003648234,1900
user8527247907403484313,2600
user392299711134039396,1700
user4876576858952727951,1700
user8401433899964320217,2100
user6622152939487867694,1900
user986326632146424317,2600
user8280647719838722367,2200
user7823487051840458248,1800
user7919162440333296349,1700
user5324583478130298591,2000
user3112132720264060802,2300
user7089245932036807623,2100
user5696779357916382750,2000
user3237946727703224898,2000
user5912804296099134935,2200
user8536961916736318240,2100
user5933010590494785120,1900
user4394523714539545966,2100
user292156455839775497,2300
user1246548735333305540,1600
user985766671634283869,2200
user2866310808429281187,2000
user3005965046708406443,2300
user3710067547565731073,1600
user663574059895877325,2000
user7807966939464075744,2000
user2413276361938144301,2000
user4520337721978710062,2100
user3126532911616162410,1600
user5821815089625564515,2100
user7114138408451725489,2000
user4046878665874081108,2000
user2191786966006142104,2200
user880158958590769958,2100
user7697673044401294152,2000
user5942382954533320482,2000
user518113718573203492,2100
user1945405093659222041,1700
user3599432007208650916,1700
user8762919179469746235,2100
user1945965054171362489,2500
user6882935003186889365,2300
user784141924803633292,1800
user3820921403140653113,2000
user1834769553302141884,2500
user991012814165691998,2600
user5590611684360728391,2100
user4278642031651057680,2600
user2172482277416930932,2100
user4294162144027440184,1500
user744630941818771935,2000
user9100290258290236718,2000
user3127092872128302858,1900
user1819809401437899828,2000
user874571170765063264,2300
user2629861260633036934,2300
user1347470266357551770,1900
user3584813500638707425,2100
user1699583181824442426,2100
user8059376639124562053,1700
user5118272549280380333,2300
user2071219101098386137,2100
user7942934995723933319,2000
user4751541127243546186,1700
user2644479767202980425,1600
user8858594567962584336,2100
user1236834726000471613,2000
user1101648354522772155,2300
user1578455356404546011,2300
user3343117810311055043,1800
user3575099491305873498,1800
user6390389573710891122,1700
user8044976447772460445,2100
user3932116904009873718,1600
user3820703087922811230,1500
user1718887870413653598,1800
user4283888174182465809,1900
user1473284273796715866,1800
user6521231408463621464,2200
user648613908031635269,2300
user7355274138267237423,3000
user3353268450079572736,1800
user2046326624683468271,2300
user2408371864701034737,1900
user8984408575401748432,2400
user2423550331783118676,1900
user2765047632110736392,1700
user2277530029948304395,2500
user7571517391667831491,1800
user8864400671006132913,2100
user5696219397404242302,1500
user74793281414900533,2100
user7360520280798645552,1500
user2523911902295224458,2100
user6399761937749426484,2600
user7461441811822891782,2100
user9114690449642338326,2100
user1352498093671118016,2200
user6058824597933949216,2000
user1689309211979468051,2000
user9115250410154478774,2100
user6173586359798156606,2000
user6762585453496975281,2100
user5692093175897115069,2300
user3806302896570709622,2700
user2895329506351326286,1700
user1468379776559606302,2400
user421878369568224943,2400
user5947069136552588163,2000
user754563266369447745,2200
user2422990371270978228,2100
user4525365549292276308,1500
user1231588583469063484,2100
user5113586367261112652,1500
user2428236513802386357,1800
user5229126404855302373,2200
user990452853653551550,1800
user6284440215373078646,2000
user5575651532496486335,2600
user9210925798647316875,1700
user5691314900167132738,2000
user1825055543969307957,2300
user6988884361524701841,2100
user4997922999590466249,1400
user3916938436927789779,1800
user6048550628088974841,2100
user6169460138291029373,1900
user70107099395632852,1800
user7118824590470993170,2200
user8853908385943316655,1700
user8994122584734582359,2100
user7817899264014751554,2200
user8155611988129540602,2100
user8999928687778130936,2100
user3816016905903543549,2800
user7235266233871621904,1600
user4645373453687891827,2000
user1840015695833550013,2100
user6968678067129051656,1600
user4187652825177487260,2100
user64860956864224723,2200
user3328717618958953435,2100
user7596409868082749357,2200
user2528598084314492139,3200
user2543558236178734195,1900
user9095604076270969037,1700
user5586143817559302593,2300
user6505711296087238960,2000
user7330941622364460005,1900
