run,phase,driver,driver_label,latency_spearman_rho,throughput_spearman_rho
6,clean-run,cache_hit_ratio,Cache-hit ratio,0.995067506750675,-0.9947434743474347
6,clean-run,checkpoint_sync_time_per_op,Checkpoint sync time/op,0.9341125541125541,-0.9347804576376005
6,clean-run,checkpoint_write_time_per_op,Checkpoint write time/op,0.9947928262213976,-0.9944712430426716
6,clean-run,internal_inserts_per_logical_update,Internal inserts/logical update,-0.0029411764705882353,0.0029411764705882353
6,clean-run,tup_fetched_per_op,Tuples fetched/op,0.017241805813234385,-0.0153865182436611
6,clean-run,tup_inserted_per_op,Internal tuple inserts/op,-0.2917828805428744,0.29181380219359637
6,clean-run,tup_returned_per_op,Tuples returned/op,0.018317872603586888,-0.01645021645021645
6,clean-run,tup_updated_per_op,Logical tuple updates/op,0.004054046650761598,-0.003059839972122444
6,clean-run,wal_buffers_full_per_op,WAL buffers full/op,0.4093753865182437,-0.40691403834260975
6,clean-run,wal_bytes_per_op,WAL bytes/op,0.9963760049474335,-0.9961410018552875
6,clean-run,wal_fpi_per_op,WAL FPIs/op,0.993704390847248,-0.9934322820037106
6,clean-run,wal_records_per_op,WAL records/op,0.9963017934446506,-0.9960420531849103
4,extend,blks_hit_per_op,Block hits/op,0.997687074829932,-0.997687074829932
4,extend,blks_read_per_op,Block reads/op,0.9922121679227035,-0.9922121679227035
4,extend,buffers_alloc_per_op,Buffer allocs/op,0.9969202226345083,-0.9969202226345083
4,extend,buffers_backend_per_op,Backend buffers/op,0.9933704390847248,-0.9933704390847248
4,extend,buffers_checkpoint_per_op,Checkpoint buffers/op,0.9752133580705009,-0.9752133580705009
4,extend,buffers_clean_per_op,Cleaner buffers/op,0.8771648128742843,-0.8771648128742843
4,extend,cache_hit_ratio,Cache-hit ratio,-0.989030903090309,0.989030903090309
4,extend,checkpoint_sync_time_per_op,Checkpoint sync time/op,0.9625726654298082,-0.9625726654298082
4,extend,checkpoint_write_time_per_op,Checkpoint write time/op,0.9969449598021026,-0.9969449598021026
4,extend,internal_inserts_per_logical_update,Internal inserts/logical update,0.9988373531230674,-0.9988373531230674
4,extend,tup_fetched_per_op,Tuples fetched/op,0.9989115646258503,-0.9989115646258503
4,extend,tup_inserted_per_op,Internal tuple inserts/op,0.9988373531230674,-0.9988373531230674
4,extend,tup_returned_per_op,Tuples returned/op,0.9989115646258503,-0.9989115646258503
4,extend,tup_updated_per_op,Logical tuple updates/op,0.9909706804891157,-0.9909706804891157
4,extend,wal_buffers_full_per_op,WAL buffers full/op,0.6084106369820655,-0.6084106369820655
4,extend,wal_bytes_per_op,WAL bytes/op,0.9989115646258503,-0.9989115646258503
4,extend,wal_fpi_per_op,WAL FPIs/op,0.994100185528757,-0.994100185528757
4,extend,wal_records_per_op,WAL records/op,0.9987755102040816,-0.9987755102040816
5,extend,blks_hit_per_op,Block hits/op,0.9965120593692022,-0.9965120593692022
5,extend,blks_read_per_op,Block reads/op,0.9905726710169519,-0.9905726710169519
5,extend,buffers_alloc_per_op,Buffer allocs/op,0.9982312925170068,-0.9982312925170068
5,extend,buffers_backend_per_op,Backend buffers/op,0.993704390847248,-0.993704390847248
5,extend,buffers_checkpoint_per_op,Checkpoint buffers/op,0.9759183673469388,-0.9759183673469388
5,extend,buffers_clean_per_op,Cleaner buffers/op,0.8658295766468076,-0.8658295766468076
5,extend,cache_hit_ratio,Cache-hit ratio,-0.9906630663066307,0.9906630663066307
5,extend,checkpoint_sync_time_per_op,Checkpoint sync time/op,0.9628324056895485,-0.9628324056895485
5,extend,checkpoint_write_time_per_op,Checkpoint write time/op,0.9977365491651206,-0.9977365491651206
5,extend,internal_inserts_per_logical_update,Internal inserts/logical update,0.9990476190476191,-0.9990476190476191
5,extend,tup_fetched_per_op,Tuples fetched/op,0.9990599876314162,-0.9990599876314162
5,extend,tup_inserted_per_op,Internal tuple inserts/op,0.9990476190476191,-0.9990476190476191
5,extend,tup_returned_per_op,Tuples returned/op,0.9990599876314162,-0.9990599876314162
5,extend,tup_updated_per_op,Logical tuple updates/op,0.9921607918558758,-0.9921607918558758
5,extend,wal_buffers_full_per_op,WAL buffers full/op,0.7085466914038343,-0.7085466914038343
5,extend,wal_bytes_per_op,WAL bytes/op,0.9989239332096475,-0.9989239332096475
5,extend,wal_fpi_per_op,WAL FPIs/op,0.9873716759431045,-0.9873716759431045
5,extend,wal_records_per_op,WAL records/op,0.9985776128633271,-0.9985776128633271
6,extend,blks_hit_per_op,Block hits/op,0.99713048855906,-0.9971057513914656
6,extend,blks_read_per_op,Block reads/op,0.9897549272517125,-0.9898044874799089
6,extend,buffers_alloc_per_op,Buffer allocs/op,0.997687074829932,-0.9976623376623377
6,extend,buffers_backend_per_op,Backend buffers/op,0.991069882498454,-0.9910080395794681
6,extend,buffers_checkpoint_per_op,Checkpoint buffers/op,0.9839455782312925,-0.9838713667285096
6,extend,buffers_clean_per_op,Cleaner buffers/op,0.8953550825947668,-0.8954294229370613
6,extend,cache_hit_ratio,Cache-hit ratio,-0.9901230123012301,0.9900990099009901
6,extend,checkpoint_sync_time_per_op,Checkpoint sync time/op,0.9324675324675324,-0.9326159554730983
6,extend,checkpoint_write_time_per_op,Checkpoint write time/op,0.9972294372294372,-0.9972047000618429
6,extend,internal_inserts_per_logical_update,Internal inserts/logical update,0.9985528756957328,-0.9985281385281385
6,extend,tup_fetched_per_op,Tuples fetched/op,0.9985281385281385,-0.9985034013605442
6,extend,tup_inserted_per_op,Internal tuple inserts/op,0.9985528756957328,-0.9985281385281385
6,extend,tup_returned_per_op,Tuples returned/op,0.9985281385281385,-0.9985034013605442
6,extend,tup_updated_per_op,Logical tuple updates/op,0.9946655415992393,-0.9946035528331619
6,extend,wal_buffers_full_per_op,WAL buffers full/op,0.4238713667285096,-0.4237847866419295
6,extend,wal_bytes_per_op,WAL bytes/op,0.9985776128633271,-0.9985528756957328
6,extend,wal_fpi_per_op,WAL FPIs/op,0.9936796536796537,-0.9936301793444651
6,extend,wal_records_per_op,WAL records/op,0.99847866419295,-0.9984539270253556
4,reference,blks_hit_per_op,Block hits/op,0.2614378329228096,-0.2738083506353033
4,reference,blks_read_per_op,Block reads/op,0.3326431535662564,-0.34885095277820194
4,reference,buffers_alloc_per_op,Buffer allocs/op,0.3357699443413729,-0.3550682288485691
4,reference,buffers_backend_per_op,Backend buffers/op,0.33376623376623377,-0.35302739359026925
4,reference,buffers_checkpoint_per_op,Checkpoint buffers/op,0.3211008039579468,-0.33916208253236535
