Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK,cache_profile,run,source_file,blks_read_delta,blks_read_per_op,blks_hit_delta,blks_hit_per_op,tup_returned_delta,tup_returned_per_op,tup_fetched_delta,tup_fetched_per_op,tup_inserted_delta,tup_inserted_per_op,tup_updated_delta,tup_updated_per_op,buffers_alloc_delta,buffers_alloc_per_op,buffers_clean_delta,buffers_clean_per_op,buffers_backend_delta,buffers_backend_per_op,checkpoint_write_time_delta,checkpoint_write_time_per_op,checkpoint_sync_time_delta,checkpoint_sync_time_per_op,wal_bytes_delta,wal_bytes_per_op,wal_records_delta,wal_records_per_op,wal_fpi_delta,wal_fpi_per_op,wal_buffers_full_delta,wal_buffers_full_per_op,delta_cache_hit_ratio,cumulative_cache_hit_ratio,CPU,Memory
21,avg-run,10000,True,uniform,READ,530324,9739046,4341195,4290176,363424,5,0,0,4,385024,469,34731,372967644,446066689,5161074741,10112404509,893275897,138359155,18694914165906,21757154991,2891023626,59660940,1,0,0,0,0,15338,6519.754857217368,100000,148.38862,119,18207,172,280,100000,small_128MB,1,postgresql_arrayjson_vacuum_notfull_run1_zipfian_heavy_pure.csv,7312.0,0.07312,36928.0,0.36928,-3795.0,-0.03795,-3795.0,-0.03795,6231.0,0.06231,0.0,0.0,3368057.0,33.68057,177459.0,1.77459,3134759.0,31.34759,352511.0,3.52511,82947.0,0.82947,8846086837.0,88460.86837,12440478.0,124.40478,1445673.0,14.45673,24519.0,0.24519,0.8347197106690778,0.9483586627027754,,
22,avg-run,10000,True,uniform,READ,591249,10904645,4497236,4446214,370152,22,0,0,4,385024,469,34748,372985324,446253126,5164421959,10115896297,893642596,138432047,18704252288984,21770328524,2892483875,59686621,1,0,0,0,0,14448,6921.373200442968,100000,139.77272,110,16367,162,261,100000,small_128MB,1,postgresql_arrayjson_vacuum_notfull_run1_zipfian_heavy_pure.csv,60925.0,0.60925,1165599.0,11.65599,156041.0,1.56041,156038.0,1.56038,6728.0,0.06728,17.0,0.00017,3491788.0,34.91788,186437.0,1.86437,3347218.0,33.47218,366699.0,3.66699,72892.0,0.72892,9338123078.0,93381.23078,13173533.0,131.73533,1460249.0,14.60249,25681.0,0.25681,0.9503271032609227,0.9485686802609697,,
23,avg-run,10000,True,uniform,READ,583609,10899980,4544200,4493181,376316,5,0,0,4,385024,469,34767,373003999,446443187,5167874322,10119477007,894062753,138506241,18713962835981,21784014606,2893997734,59712917,1,0,0,0,0,15975,6259.780907668232,100000,154.99075,127,15359,179,263,100000,small_128MB,1,postgresql_arrayjson_vacuum_notfull_run1_zipfian_heavy_pure.csv,-7640.0,-0.0764,-4665.0,-0.04665,46964.0,0.46964,46967.0,0.46967,6164.0,0.06164,-17.0,-0.00017,3580710.0,35.8071,190061.0,1.90061,3452363.0,34.52363,420157.0,4.20157,74194.0,0.74194,9710546997.0,97105.46997,13686082.0,136.86082,1513859.0,15.13859,26296.0,0.26296,0.37911418122714347,0.9491788673384253,,
24,avg-run,10000,True,uniform,READ,604633,10932484,4599606,4548587,382919,12,0,0,4,385024,469,34786,373030291,446632825,5171082156,10123148463,894481762,138588129,18724137465926,21798093118,2896046925,59740230,1,0,0,0,0,16477,6069.065970747102,100000,159.69272,129,15087,189,296,100000,small_128MB,1,postgresql_arrayjson_vacuum_notfull_run1_zipfian_heavy_pure.csv,21024.0,0.21024,32504.0,0.32504,55406.0,0.55406,55406.0,0.55406,6603.0,0.06603,7.0,7e-05,3671456.0,36.71456,189638.0,1.89638,3207834.0,32.07834,419009.0,4.19009,81888.0,0.81888,10174629945.0,101746.29945,14078512.0,140.78512,2049191.0,20.49191,27313.0,0.27313,0.6072335973696009,0.9475923664464875,,
25,avg-run,10000,True,uniform,READ,634744,10973027,4731849,4680830,389590,5,0,0,4,385024,469,34806,373054165,446831322,5174605531,10126975145,894926772,138664627,18734964110930,21813086863,2897746078,59767894,1,0,0,0,0,16901,5916.809656233359,100000,163.82811,133,15623,191,316,100000,small_128MB,1,postgresql_arrayjson_vacuum_notfull_run1_zipfian_heavy_pure.csv,30111.0,0.30111,40543.0,0.40543,132243.0,1.32243,132243.0,1.32243,6671.0,0.06671,-7.0,-7e-05,3826682.0,38.26682,198497.0,1.98497,3523375.0,35.23375,445010.0,4.4501,76498.0,0.76498,10826645004.0,108266.45004,14993745.0,149.93745,1699153.0,16.99153,27664.0,0.27664,0.5738245534576952,0.945317322335184,,
26,avg-run,10000,True,uniform,READ,709706,11303008,4741906,4690887,396174,5,0,0,4,385024,469,34827,373077007,447036845,5178251032,10130938848,895359109,138756482,18746305356534,21828582286,2899898077,59796685,1,0,0,0,0,17528,5705.157462345961,100000,170.05147,136,18671,199,316,100000,small_128MB,1,postgresql_arrayjson_vacuum_notfull_run1_zipfian_heavy_pure.csv,74962.0,0.74962,329981.0,3.29981,10057.0,0.10057,10057.0,0.10057,6584.0,0.06584,0.0,0.0,3963703.0,39.63703,205523.0,2.05523,3645501.0,36.45501,432337.0,4.32337,91855.0,0.91855,11341245604.0,113412.45604,15495423.0,154.95423,2151999.0,21.51999,28791.0,0.28791,0.814882588413678,0.9409204281397193,,
27,avg-run,10000,True,uniform,READ,741983,11289396,4845406,4794387,402909,5,0,0,4,385024,469,34849,373099832,447248078,5182161163,10135028945,895813870,138860247,18758205633245,21844703514,2902276173,59826791,1,0,0,0,0,17742,5636.343140570398,100000,172.43023,141,17951,199,312,100000,small_128MB,1,postgresql_arrayjson_vacuum_notfull_run1_zipfian_heavy_pure.csv,32277.0,0.32277,-13612.0,-0.13612,103500.0,1.035,103500.0,1.035,6735.0,0.06735,0.0,0.0,4090097.0,40.90097,211233.0,2.11233,3910131.0,39.10131,454761.0,4.54761,103765.0,1.03765,11900276711.0,119002.76711,16121228.0,161.21228,2378096.0,23.78096,30106.0,0.30106,-0.7292793999464238,0.9383293469518332,,
28,avg-run,10000,True,uniform,READ,790236,11372421,4913096,4862074,410009,5,0,0,4,385024,469,34871,373124857,447468088,5186246900,10139211613,896306307,138948760,18770242887728,21861319532,2904229460,59862407,1,0,0,0,0,16740,5973.715651135006,100000,162.61702,128,17263,180,262,100000,small_128MB,1,postgresql_arrayjson_vacuum_notfull_run1_zipfian_heavy_pure.csv,48253.0,0.48253,83025.0,0.83025,67690.0,0.6769,67687.0,0.67687,7100.0,0.071,0.0,0.0,4182668.0,41.82668,220010.0,2.2001,4085737.0,40.85737,492437.0,4.92437,88513.0,0.88513,12037254483.0,120372.54483,16616018.0,166.16018,1953287.0,19.53287,35616.0,0.35616,0.6324365087828883,0.9350276835069837,,
29,avg-run,10000,True,uniform,READ,902566,11012526,5000590,4949568,416593,5,0,0,4,385024,469,34894,373149840,447692042,5190430181,10143599507,896783413,139056203,18782755697962,21878423646,2906485339,59900416,1,0,0,0,0,17938,5574.757498048835,100000,174.27881,140,16783,200,331,100000,small_128MB,1,postgresql_arrayjson_vacuum_notfull_run1_zipfian_heavy_pure.csv,112330.0,1.1233,-359895.0,-3.59895,87494.0,0.87494,87494.0,0.87494,6584.0,0.06584,0.0,0.0,4387894.0,43.87894,223954.0,2.23954,4183281.0,41.83281,477106.0,4.77106,107443.0,1.07443,12512810234.0,125128.10234,17104114.0,171.04114,2255879.0,22.55879,38009.0,0.38009,1.4537394219699877,0.9242501862343993,,
30,avg-run,10000,True,uniform,READ,912113,10983656,5133270,5082251,422932,5,0,0,4,385024,469,34918,373181816,447923621,5194759686,10148099256,897289045,139171666,18795695963961,21896003701,2909040380,59937633,1,0,0,0,0,18856,5303.351718285957,100000,183.77474,148,16479,210,334,100000,small_128MB,1,postgresql_arrayjson_vacuum_notfull_run1_zipfian_heavy_pure.csv,9547.0,0.09547,-28870.0,-0.2887,132680.0,1.3268,132683.0,1.32683,6339.0,0.06339,0.0,0.0,4499749.0,44.99749,231579.0,2.31579,4329505.0,43.29505,505632.0,5.05632,115463.0,1.15463,12940265999.0,129402.65999,17580055.0,175.80055,2555041.0,25.55041,37217.0,0.37217,1.4940744190860633,0.9233245870863834,,
