cache_profile,run,phase,window,n,p95_us_mean,p99_us_mean,avg_us_mean,throughput_mean,blks_read_per_op_mean,blks_hit_per_op_mean,delta_cache_hit_ratio_mean,cum_cache_hit_ratio_mean,wal_bytes_per_op_mean,buffers_alloc_per_op_mean,checkpoint_write_time_per_op_mean,tup_inserted_per_op_mean,tup_updated_per_op_mean,tup_fetched_per_op_mean,tup_returned_per_op_mean,first_epoch_p95_gt_1000us,first_epoch_p95_gt_2000us
big_4GB,3,reference,early_1_10,10,50.7,84.1,38.258975,23337.865156766893,0.0,3.0257788888888886,1.0,0.9999990942186836,24317.166462222223,0.38793888888888894,1.370771111111111,0.0,0.0,1.0127544444444443,1.247051111111111,,
big_4GB,3,reference,mid_45_55,11,52.09090909090909,91.18181818181819,38.219370909090905,23218.949711199282,0.01733818181818182,3.0172163636363645,0.9942864217546009,0.9963071017834004,220201.32319363634,21.59296090909091,7.988068181818179,0.0,0.0,1.0144609090909091,1.353258181818182,,
big_4GB,3,reference,late_91_100,10,52.0,562.9,48.339150000000004,18758.807014793678,0.018114,3.0318289999999997,0.9940608812497398,0.9952875390584154,445746.7148720001,41.556115999999996,17.510943,0.0,0.0,1.017768,1.5237219999999998,,
big_4GB,3,reference,all_1_100,100,51.58,285.35,42.2586355,21434.5066775186,0.014646969696969695,3.0215141414141415,0.9951790928345513,0.996988182883219,230716.20256737375,20.87832181818182,8.900625555555555,0.0,7.07070707070707e-07,1.0148583838383836,1.3687865656565656,,
big_4GB,3,run,early_1_10,10,334.3,503.8,115.00570499999999,9872.445756375473,0.0,95.00954777777778,1.0,0.999999809921713,24317.166474444442,0.38793888888888894,1.370771111111111,8.345859999999998,1.0004155555555554,27.636944444444442,28.402784444444446,59.0,97.0
big_4GB,3,run,mid_45_55,11,697.9090909090909,1426.5454545454545,396.7283118181818,2501.3003169097788,52.03353090909092,426.8908763636364,0.8912771870072873,0.93459636885521,220201.32319363634,21.59294454545454,7.988068181818179,71.25749909090909,1.0011100000000004,182.1492481818182,182.90817727272727,59.0,97.0
big_4GB,3,run,late_91_100,10,1469.6,5133.8,769.1102109999999,1310.0991931521735,121.840769,727.536828,0.8565271024932496,0.8896977087158211,445746.7148720001,41.556115999999996,17.510943,135.99179900000001,1.002134,340.19643899999994,341.127634,59.0,97.0
big_4GB,3,run,all_1_100,100,828.57,2151.58,431.4216463000001,3264.92440651383,54.6290506060606,428.32789363636357,0.9109680622805221,0.9422174278301115,230716.20257353538,20.878156868686865,8.900625555555555,72.78967161616161,1.0012044444444443,185.49687,186.29656919191922,59.0,97.0
big_4GB,4,avg-run,early_1_10,10,96.3,145.8,72.408267,13493.41822145326,-0.00015333333333333334,7.007311111111111,1.0000574245007556,0.9998931783686611,24622.65285777778,0.42087555555555556,1.3336711111111113,0.17912000000000006,7.777777777777777e-06,2.1949144444444446,2.1949144444444446,,
big_4GB,4,avg-run,mid_45_55,11,322.1818181818182,496.72727272727275,296.38382636363633,3320.96223276901,0.0,0.52898,1.0,0.999995995803951,221034.17995454546,21.528525454545456,7.705531818181819,0.04995909090909092,0.0,0.6767863636363637,0.6767863636363637,,
big_4GB,4,avg-run,late_91_100,10,551.6,772.5,515.376588,1920.7289033426762,0.0,0.6120919999999999,1.0,0.9999966782050713,446619.423855,41.832403,16.716501,0.152915,1.1e-05,1.610916,1.611793,,
big_4GB,4,avg-run,all_1_100,100,323.43,477.19,292.7971035,4827.588525849766,-3.9797979797979795e-05,1.5800450505050505,0.9999943773015174,0.9999849010116728,231075.8907451515,21.159351414141412,8.518007070707071,0.11722262626262625,2.2222222222222225e-06,1.3977892929292928,1.3980542424242424,,
