scenario,phase,driver,driver_label,latency_spearman_rho,throughput_spearman_rho
vacuum_notfull_zipfian_heavy_pure,avg-run,internal_inserts_per_logical_update,Internal inserts/logical update,0.02358597882270766,-0.02214757982333305
vacuum_notfull_zipfian_heavy_pure,avg-run,tup_fetched_per_op,Tuples fetched/op,-0.15671407957122244,0.1565326736755308
vacuum_notfull_zipfian_heavy_pure,avg-run,tup_inserted_per_op,Internal tuple inserts/op,-0.27604407849927587,0.2758688547345814
vacuum_notfull_zipfian_heavy_pure,avg-run,tup_returned_per_op,Tuples returned/op,-0.15750154607297465,0.15731601731601733
vacuum_notfull_zipfian_heavy_pure,avg-run,tup_updated_per_op,Logical tuple updates/op,0.0433912077480503,-0.04246991255894528
vacuum_notfull_zipfian_heavy_pure,avg-run,wal_buffers_full_per_op,WAL buffers full/op,0.8957586007535748,-0.895511229013889
vacuum_notfull_zipfian_heavy_pure,avg-run,wal_bytes_per_op,WAL bytes/op,0.9952793238507525,-0.9952628324056896
vacuum_notfull_zipfian_heavy_pure,avg-run,wal_fpi_per_op,WAL FPIs/op,0.9931849103277676,-0.993164296021439
vacuum_notfull_zipfian_heavy_pure,avg-run,wal_records_per_op,WAL records/op,0.9952916924345496,-0.9952669552669553
vacuum_notfull_zipfian_heavy_pure,clean-run,blks_hit_per_op,Block hits/op,-0.3344547515976088,0.3342650999793857
vacuum_notfull_zipfian_heavy_pure,clean-run,blks_read_per_op,Block reads/op,0.2249890438040045,-0.2239889104022008
vacuum_notfull_zipfian_heavy_pure,clean-run,buffers_alloc_per_op,Buffer allocs/op,0.9717212945784374,-0.971770768913626
vacuum_notfull_zipfian_heavy_pure,clean-run,buffers_backend_per_op,Backend buffers/op,0.9709750566893424,-0.9710781282209854
vacuum_notfull_zipfian_heavy_pure,clean-run,buffers_checkpoint_per_op,Checkpoint buffers/op,0.962284065141208,-0.9622923108637395
vacuum_notfull_zipfian_heavy_pure,clean-run,buffers_clean_per_op,Cleaner buffers/op,0.9270141755689659,-0.9270964109040105
vacuum_notfull_zipfian_heavy_pure,clean-run,cache_hit_ratio,Cache-hit ratio,-0.3151875187518752,0.3154995499549955
vacuum_notfull_zipfian_heavy_pure,clean-run,checkpoint_sync_time_per_op,Checkpoint sync time/op,0.9565439594645998,-0.9567665936287378
vacuum_notfull_zipfian_heavy_pure,clean-run,checkpoint_write_time_per_op,Checkpoint write time/op,0.9665883323026181,-0.9666542980828695
vacuum_notfull_zipfian_heavy_pure,clean-run,internal_inserts_per_logical_update,Internal inserts/logical update,-0.03919338315623145,0.03919338315623145
vacuum_notfull_zipfian_heavy_pure,clean-run,tup_fetched_per_op,Tuples fetched/op,-0.09676767676767677,0.09602556173984746
vacuum_notfull_zipfian_heavy_pure,clean-run,tup_inserted_per_op,Internal tuple inserts/op,-0.2988639279188332,0.2991236691537932
vacuum_notfull_zipfian_heavy_pure,clean-run,tup_returned_per_op,Tuples returned/op,-0.09532879818594105,0.09459492888064318
vacuum_notfull_zipfian_heavy_pure,clean-run,tup_updated_per_op,Logical tuple updates/op,0.015774548301196106,-0.01661805072762872
vacuum_notfull_zipfian_heavy_pure,clean-run,wal_buffers_full_per_op,WAL buffers full/op,0.8818026867231309,-0.8825736614866037
vacuum_notfull_zipfian_heavy_pure,clean-run,wal_bytes_per_op,WAL bytes/op,0.9720882292310864,-0.9721541950113378
vacuum_notfull_zipfian_heavy_pure,clean-run,wal_fpi_per_op,WAL FPIs/op,0.9700639043496185,-0.9701628530199958
vacuum_notfull_zipfian_heavy_pure,clean-run,wal_records_per_op,WAL records/op,0.9720717377860235,-0.9721418264275407
vacuum_notfull_zipfian_heavy_pure,extend,blks_hit_per_op,Block hits/op,0.9984498041640899,-0.9984498041640899
vacuum_notfull_zipfian_heavy_pure,extend,blks_read_per_op,Block reads/op,0.9908196195258073,-0.9908196195258073
vacuum_notfull_zipfian_heavy_pure,extend,buffers_alloc_per_op,Buffer allocs/op,0.9990806019377448,-0.9990806019377448
vacuum_notfull_zipfian_heavy_pure,extend,buffers_backend_per_op,Backend buffers/op,0.9967058338486909,-0.9967058338486909
vacuum_notfull_zipfian_heavy_pure,extend,buffers_checkpoint_per_op,Checkpoint buffers/op,0.9886992372706658,-0.9886992372706658
vacuum_notfull_zipfian_heavy_pure,extend,buffers_clean_per_op,Cleaner buffers/op,0.955603641665804,-0.955603641665804
