Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
12,run,10000,true,uniform,READ,3698461,84698862,21711195,20897286,807972,1200225,709164,0,0,0,169,792,2355384,10900957,83315344,445587231,21699407,1397246,309101008687,314540373,37723287,3819257,1,0,0,0,0,9172,10902.747492368077,99969,87.14729566165511,46,15079,118,187,99969,31
12,reference,10000,true,uniform,READ,17993,3651975,1476997,1215803,10181,12,62,0,0,0,169,792,2355384,10900958,83315344,445591038,21699407,1397246,309101008687,314540373,37723287,3819257,1,0,0,0,0,4137,24172.105390379504,100000,36.49299,22,13487,48,79,100000
12,clean-run,10000,true,uniform,READ,25581,3331863,995455,984489,97883,1,0,0,4,385024,169,793,2356261,10905332,83345455,445677811,21770578,1397256,309251484546,314738910,37724275,3834289,1,0,0,0,0,7469,13388.673182487615,99961,69.67899480797512,41,15607,96,182,99961,39
12,avg-run,10000,true,uniform,READ,37150,6843478,2029263,1988241,197883,5,0,0,4,385024,169,793,2356261,10909429,83366831,445706731,21770578,1397256,309397228079,314949265,37724277,3834289,1,0,0,0,0,7086,14112.334180073383,100000,65.88657,41,15495,90,157,100000
13,extend,10000,true,uniform,EXTEND,4325010,90115459,23087387,22226796,905704,1300234,801592,0,0,0,169,794,2357072,10983329,83565055,446205987,21770578,1397256,309905790635,315797317,37785182,3834289,0,0,0,0,1,150846,662.9277541333546,99976,1500.3284488277186,391,32335,2065,2335,99976,24
13,run,10000,true,uniform,READ,4772299,93455337,24146068,23273803,905704,1300234,801592,0,0,0,169,794,2357072,10984583,83573345,446644601,21770578,1397256,309905881083,315798772,37785182,3834289,1,0,0,0,0,9409,10628.122010840685,99974,89.60755796507092,47,15415,123,184,99974,26
13,reference,10000,true,uniform,READ,19824,3952790,1601827,1317089,10181,12,62,0,0,0,169,794,2357072,10984583,83573345,446653586,21770578,1397256,309905881083,315798772,37785182,3834289,1,0,0,0,0,3646,27427.317608337904,100000,31.88843,21,12471,44,82,100000
13,clean-run,10000,true,uniform,READ,41075,3343139,1040228,1030139,102972,1,0,0,4,385024,169,795,2357960,10988984,83610608,446766051,21859989,1397285,310065129570,315990020,37786168,3851726,1,0,0,0,0,7477,13374.348000534974,99960,69.92796118447379,43,15431,98,152,99960,40
13,avg-run,10000,true,uniform,READ,98488,6870101,2079934,2038912,203441,12,0,0,4,385024,169,795,2357960,10994040,83647671,446840450,21859989,1397285,310222978266,316220191,37786173,3851726,1,0,0,0,0,7241,13810.247203424942,100000,67.6263,42,16367,92,167,100000
14,extend,10000,true,uniform,EXTEND,5456896,98895174,25579802,24663852,1010221,1400242,899758,0,0,0,169,796,2358629,11066797,83857115,447382714,21859989,1397285,310772533589,317090338,37847877,3851726,0,0,0,0,1,149990,666.7111140742716,99975,1491.865506376594,386,31103,2073,2341,99975,25
14,run,10000,true,uniform,READ,5947323,102257921,26701720,25774496,1010221,1400242,899758,0,0,0,169,796,2358629,11068065,83865592,447866830,21859989,1397285,310772643786,317092098,37847877,3851726,1,0,0,0,0,9387,10653.030787258975,99973,89.08060176247587,45,15879,125,205,99973,27
14,reference,10000,true,uniform,READ,21622,4253565,1725767,1418361,10181,12,62,0,0,0,169,796,2358629,11068066,83865592,447874044,21859989,1397285,310772643786,317092098,37847877,3851726,1,0,0,0,0,4316,23169.601482854494,100000,38.34315,19,12431,50,80,100000
14,clean-run,10000,true,uniform,READ,60127,3409529,1107404,1097315,109605,1,0,0,4,385024,169,797,2359542,11072099,83902525,448010767,21974007,1397301,310942785356,317296538,37848863,3869467,1,0,0,0,0,7960,12562.814070351758,99966,74.90200668227197,44,13943,107,167,99966,34
14,avg-run,10000,true,uniform,READ,127833,6897706,2144601,2103579,210078,5,0,0,4,385024,169,797,2359542,11077009,83939960,448102592,21974007,1397301,311123187236,317528800,37852652,3869467,1,0,0,0,0,7313,13674.278681799535,100000,68.39274,41,13983,88,161,100000
15,extend,10000,true,uniform,EXTEND,6688596,107718458,28209070,27239045,1122237,1500246,1004545,0,0,0,169,798,2360135,11148170,84162970,448680292,21974007,1397301,311674003203,318415652,37911542,3869467,0,0,0,0,1,148024,675.5661244122575,99971,1472.5602624761182,404,80831,2025,2355,99971,29
15,run,10000,true,uniform,READ,7213390,111089560,29403737,28422610,1122237,1500246,1004545,0,0,0,169,798,2360135,11149397,84171624,449200859,21974007,1397301,311674134849,318417768,37911542,3869467,1,0,0,0,0,9542,10479.983232026829,99968,90.5632402368758,48,14871,118,189,99968,32
15,reference,10000,true,uniform,READ,23420,4554340,1849707,1519633,10181,12,62,0,0,0,169,798,2360135,11149397,84171624,449205972,21974007,1397301,311674134849,318417768,37911542,3869467,1,0,0,0,0,3774,26497.085320614733,100000,32.90091,21,11711,47,79,100000
15,clean-run,10000,true,uniform,READ,85669,3498444,1183252,1172286,117523,1,0,0,4,385024,169,799,2361097,11153993,84225890,449366740,22098919,1397318,311857562545,318659715,37912530,3887536,1,0,0,0,0,8223,12161.011796181443,99970,77.43854156246874,44,16927,105,168,99970,30
15,avg-run,10000,true,uniform,READ,214756,6908439,2217170,2176148,217523,5,0,0,4,385024,169,799,2361097,11158735,84278013,449525067,22098919,1397318,312046494747,318883318,37916225,3887536,1,0,0,0,0,7327,13648.150675583458,100000,68.6026,42,14559,84,149,100000
16,extend,10000,true,uniform,EXTEND,8001213,116572935,30999795,29976310,1242979,1600251,1117070,0,0,0,169,800,2361688,11233095,84508733,450140421,22098919,1397318,312603092045,319810412,37974772,3887536,0,0,0,0,1,154406,647.6432262994962,99972,1536.2608330332494,398,62687,2093,2361,99972,28
16,run,10000,true,uniform,READ,8558118,119942083,32276378,31241769,1242979,1600251,1117070,0,0,0,169,800,2361688,11234287,84517440,450691687,22098919,1397318,312603251183,319812991,37974772,3887536,1,0,0,0,0,10065,9935.419771485345,99972,95.67496899131757,48,17343,122,182,99972,28
16,reference,10000,true,uniform,READ,25218,4855115,1973647,1620905,10181,12,62,0,0,0,169,800,2361688,11234287,84517440,450697906,22098919,1397318,312603251183,319812991,37974772,3887536,1,0,0,0,0,3950,25316.45569620253,100000,34.49962,19,13383,45,76,100000
16,clean-run,10000,true,uniform,READ,100389,3483638,1264935,1253972,125359,1,0,0,4,385024,169,801,2362678,11237769,84556747,450884993,22235282,1397373,312795529727,320049346,37975758,3907000,1,0,0,0,0,8913,11219.566924716706,99973,84.57840616966581,49,14743,116,197,99973,27
16,avg-run,10000,true,uniform,READ,228353,6894131,2296494,2255471,225359,5,0,0,4,385024,169,801,2362678,11243243,84648914,451040285,22235282,1397373,313082785481,320344161,37999790,3907000,1,0,0,0,0,7738,12923.235978288963,100000,72.63567,48,13351,92,133,100000
17,extend,10000,true,uniform,EXTEND,9415373,125516697,33972887,32896186,1372992,1700254,1238138,0,0,0,169,802,2363363,11314009,84878568,451673236,22235282,1397373,313567882248,321278689,38042794,3907000,0,0,0,0,1,146151,684.2238506749868,99970,1453.9693408022406,412,65983,2027,2309,99970,30
17,run,10000,true,uniform,READ,10004069,128879436,35340609,34252766,1372992,1700254,1238138,0,0,0,169,802,2363363,11316428,84894760,452257926,22235282,1397373,313568063215,321281633,38042794,3907000,1,0,0,0,0,10512,9512.937595129377,99974,100.2021525596655,53,14319,128,214,99974,26
17,reference,10000,true,uniform,READ,27016,5155890,2097587,1722177,10181,12,62,0,0,0,169,802,2363363,11316983,84905262,452260662,22235282,1397373,313568063215,321281633,38042794,3907000,1,0,0,0,0,4014,24912.805181863478,100000,35.46637,18,13327,48,90,100000
