Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,page_cache_hits,page_cache_faults,transaction_commits,transaction_rollbacks,nodes_created,nodes_deleted,relationships_created,relationships_deleted,properties_set,index_hits,index_misses,lock_acquisition_time,lock_wait_time,checkpoint_total_time,checkpoint_total_events,log_rotation_events,log_appended_bytes,log_rotation_total_time,transaction_started,transaction_peak_concurrent,transaction_active,transaction_terminated,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
17,extend,85000,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,13372,373.91564463057136,5000,2566.8042,1205,23711,4159,4499,5000
17,spread-run,90000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16724,2989.71537909591,50000,320.35338,151,22383,569,883,50000
18,extend,90000,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,13197,378.8739865120861,5000,2532.5096,1195,20191,4127,4375,5000
18,spread-run,95000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16307,3066.167903354388,50000,312.18216,157,21199,532,868,50000
19,extend,95000,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,13271,376.76135935498456,5000,2548.606,1234,20623,4155,4499,5000
19,spread-run,100000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16520,3026.634382566586,50000,316.07954,160,45535,568,898,50000
20,extend,100000,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,13308,375.71385632702135,5000,2557.3408,1210,20191,4147,4487,5000
20,spread-run,105000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16291,3069.179301454791,50000,311.87412,156,21679,542,900,50000
21,extend,105000,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,13341,374.78449891312493,5000,2559.656,1253,24543,4147,4507,5000
21,spread-run,110000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16244,3078.059591233686,50000,310.8318,157,21551,519,878,50000
22,extend,110000,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,13235,377.7861730260673,5000,2540.9524,1202,20223,4159,4575,5000
22,spread-run,115000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16511,3028.2841741869056,50000,316.06828,156,21839,558,882,50000
23,extend,115000,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,13300,375.9398496240602,5000,2552.0724,1203,21119,4171,4535,5000
23,spread-run,120000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16467,3036.3757818667636,50000,315.0036,156,22575,534,850,50000
24,extend,120000,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,13310,375.6574004507889,5000,2553.0328,1218,23663,4163,4487,5000
24,spread-run,125000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16659,3001.3806350921423,50000,318.99804,163,22655,563,877,50000
25,extend,125000,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,13350,374.53183520599254,5000,2565.198,1208,37983,4163,4519,5000
25,spread-run,130000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16686,2996.5240321227375,50000,319.62792,158,20847,597,901,50000
26,extend,130000,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,13343,374.72832196657424,5000,2563.4822,1214,20207,4159,4543,5000
26,spread-run,135000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16453,3038.9594602807997,50000,314.69092,160,20927,568,884,50000
27,extend,135000,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,13334,374.9812509374531,5000,2559.8232,1178,24287,4167,4539,5000
27,spread-run,140000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16332,3061.4744060739654,50000,312.50522,156,21631,518,869,50000
28,extend,140000,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,13312,375.60096153846155,5000,2557.4272,1200,20591,4167,4523,5000
28,spread-run,145000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16479,3034.1646944596155,50000,315.32538,159,23647,518,886,50000
29,extend,145000,true,uniform,INSERT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,13274,376.6762091306313,5000,2551.5308,1198,20335,4151,4543,5000
