Epoch,Phase,Operation,metric,source
77,avg-run,READ,35351611771.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
78,avg-run,READ,35979053109.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
79,avg-run,READ,36195200080.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
80,avg-run,READ,37049707904.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
81,avg-run,READ,37613156019.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
82,avg-run,READ,37480427762.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
83,avg-run,READ,38621941021.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
84,avg-run,READ,39143943289.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
85,avg-run,READ,39916375362.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
86,avg-run,READ,40190263768.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
87,avg-run,READ,39961773364.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
88,avg-run,READ,40931892894.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
89,avg-run,READ,41409488043.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
90,avg-run,READ,42307383024.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
91,avg-run,READ,42495981633.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
92,avg-run,READ,42704082168.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
93,avg-run,READ,43400133137.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
94,avg-run,READ,44694418072.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
95,avg-run,READ,43743826682.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
96,avg-run,READ,44729571545.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
97,avg-run,READ,45647116649.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
98,avg-run,READ,46081544599.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
99,avg-run,READ,46624680773.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
100,avg-run,READ,46498068597.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
2,clean-run,READ,708998007.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
3,clean-run,READ,1064498972.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
4,clean-run,READ,1522238933.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
5,clean-run,READ,1973105085.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
6,clean-run,READ,2436305617.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
7,clean-run,READ,2953260678.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
8,clean-run,READ,3299627729.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
9,clean-run,READ,3800130517.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
10,clean-run,READ,4300871463.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
11,clean-run,READ,4802727916.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
12,clean-run,READ,5331311611.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
13,clean-run,READ,5651024985.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
14,clean-run,READ,6050861077.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
15,clean-run,READ,6504067196.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
16,clean-run,READ,6967106051.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
17,clean-run,READ,7364568243.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
18,clean-run,READ,7689725219.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
19,clean-run,READ,8210323648.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
20,clean-run,READ,8645523642.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
21,clean-run,READ,9100698157.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
22,clean-run,READ,9491633537.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
23,clean-run,READ,10129721833.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
24,clean-run,READ,10285497560.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
25,clean-run,READ,10800561412.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
26,clean-run,READ,11348043898.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
27,clean-run,READ,11418115709.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
28,clean-run,READ,12034527798.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
29,clean-run,READ,12497954405.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
30,clean-run,READ,13103401612.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
31,clean-run,READ,13312738188.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
32,clean-run,READ,14050824394.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
33,clean-run,READ,14163820812.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
34,clean-run,READ,14722900736.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
35,clean-run,READ,15295263667.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
36,clean-run,READ,15820287475.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
37,clean-run,READ,15882125352.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
38,clean-run,READ,16492771560.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
39,clean-run,READ,17013923907.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
40,clean-run,READ,17091338281.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
41,clean-run,READ,18030319657.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
42,clean-run,READ,18444164597.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
43,clean-run,READ,18824768524.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
44,clean-run,READ,19406924358.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
45,clean-run,READ,19807278625.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
46,clean-run,READ,20380873018.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
47,clean-run,READ,20575112777.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
48,clean-run,READ,21080520357.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
49,clean-run,READ,21630680765.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
50,clean-run,READ,22033124903.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
51,clean-run,READ,22793128136.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
52,clean-run,READ,22969574380.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
53,clean-run,READ,23346241676.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
54,clean-run,READ,23915008180.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
55,clean-run,READ,24496645883.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
56,clean-run,READ,24850710053.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
57,clean-run,READ,25567175241.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
58,clean-run,READ,25742576132.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
59,clean-run,READ,26613015658.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
60,clean-run,READ,27068835425.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
61,clean-run,READ,27597541312.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
62,clean-run,READ,27692656453.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
63,clean-run,READ,28657181806.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
64,clean-run,READ,28729171941.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
65,clean-run,READ,29705438259.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
66,clean-run,READ,29646768130.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
67,clean-run,READ,29989104215.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
68,clean-run,READ,30970486261.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
69,clean-run,READ,30858293083.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
70,clean-run,READ,32185642194.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
71,clean-run,READ,32171084695.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
72,clean-run,READ,32820708373.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
73,clean-run,READ,33131620391.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
74,clean-run,READ,33514002931.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
75,clean-run,READ,34351565579.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
76,clean-run,READ,35140054195.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
77,clean-run,READ,35341625950.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
78,clean-run,READ,35969070755.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
79,clean-run,READ,36171835217.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
80,clean-run,READ,37039547859.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
81,clean-run,READ,37603158929.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
82,clean-run,READ,37469710382.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
83,clean-run,READ,38612567606.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
84,clean-run,READ,39131741414.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
85,clean-run,READ,39908492402.0,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure
