Key,Run1
user8743272845586236498,2100
user296282677346902730,2100
user7460881851310751334,2200
user3005965046708406443,1800
user1825055543969307957,2400
user1603566148037305760,1900
user3927430721990606037,1800
user2398657855368200810,1500
user2162208307571956557,1800
user4626287080316522538,1700
user4741608802692870376,1900
user8155611988129540602,1700
user4866862849619894024,2200
user8049102669279587678,1800
user8893979329440318460,2300
user4524463943485837295,1900
user4172692673313245204,2500
user1945965054171362489,1800
user2529499690120931152,1900
user2648947634004406223,2400
user8637105172030582139,2100
user5923296581161951193,2000
user4987430714527649991,1900
user6058264637421808768,2600
user1820151046732198393,1700
user7928534804371831711,1700
user3825389269942078911,2200
user392299711134039396,2400
user8044976447772460445,1800
user6399761937749426484,2700
user6400321898261566932,2400
user4408923905891647574,1800
user8627391162697748212,1800
user6501025114067971279,2100
user412506005529689581,1900
user643709410794525705,1900
user7093932114056075304,2000
user7335627804383727686,1900
user1478312101110282112,1900
user5586143817559302593,1800
user2408371864701034737,2500
user4891755326034811890,2400
user8044416487260319997,1700
user3946517095361975326,2200
user8768165322001154364,2700
user5098066254884730148,1900
user7938808774216806086,2600
user6752434813728457588,2300
user7244638597910157266,1900
user1453419624695364246,2500
user8401433899964320217,1700
user8859154528474724784,1800
user8266247528486620759,1700
user6168900177778888925,2000
user7822927091328317800,1900
user161096305869203272,1800
user4067084960269731293,2000
user3599432007208650916,1800
user1573987489603120213,1500
user1101648354522772155,1800
user8165325997462374529,2300
user7340655631697293932,2200
user8979722393382480751,2600
user1222216219430528122,2000
user8522343410166374749,2000
user8295266226408665858,2400
user1111580679073447965,1800
user286350352796226920,2500
user2302422506363222261,2300
user6048550628088974841,1800
user4519559446248727731,2000
user3474177960281627268,1700
user5103094082198296394,2400
user6651171637409912793,2400
user402232035684715206,1800
user7450949526760075524,2000
user2292708497030388334,2000
user1101088394010631707,2000
user5344448127231650211,2600
user4862176667600626343,1600
user7939027089434647969,1900
user8044198172042478114,1900
user5585925502341460710,2200
user6415282050125808988,1700
user7345341813716561613,2100
user8150365845598132473,1900
user8647597457093398397,2200
user6390949534223031570,2200
user8747959027605504179,1800
user1236834726000471613,2100
user7466469639136458028,1900
user5113586367261112652,1900
user885063455827879522,1900
user5932668945200486555,2000
user7461223496605049899,1700
user1010099187537061287,2000
user4645591768905733710,1700
user2186540823474733975,2200
user3232482269953974886,2400
user2754896992342218699,2000
user2645039727715120873,2600
user3111914405046218919,2000
user7717537693502645772,2200
user985766671634283869,2300
user7350806271465811625,2500
user6979170352191867914,2200
user3589717997875816989,1900
user276977988757691558,2500
user3242974555016791144,1700
user6149253843895379188,1600
user880158958590769958,2100
user5817128907606296834,2300
user5600544008911404201,3000
user2428236513802386357,1800
user7596409868082749357,2400
user1829523410770733755,2300
user5229126404855302373,1800
user7350027995735829294,1700
user4394523714539545966,2200
user2870996990448548868,1700
user6867974851322647309,2100
user1805750855380096785,1700
user508181394022527682,1900
user2166894489591224238,2400
user2523693587077382575,2100
user7827613273347585481,2300
user4153387984724034032,2500
user4756227309262813867,3000
user2639233624671572296,2100
user4887069144015544209,2100
user6862728708791239180,2400
user8159738209636667835,2600
user3575099491305873498,2600
user3951203277381243007,1700
user3107446538244793121,1600
user5335075763193114849,1700
user8738586663566968817,1900
user4062398778250463612,2100
user533073870437445548,1900
user2528598084314492139,2300
user3468931817750219139,2000
user3937144731323439964,2400
user4760913491282081548,2300
user4293602183515299736,2200
user6983856534211135595,1700
user3343117810311055043,2300
user4187652825177487260,2300
user2760703095385767276,2200
user7913916297801888220,2100
user2755115307560060582,2400
user2649725909734388554,2900
user5223880262323894244,2300
user3685735031662953655,2400
user2538312093647326066,1800
user4288356040983891607,2400
user2895329506351326286,2200
user5479976144003648234,2700
user3570413309286605817,2400
user7677466750005643967,1900
user3348022307548164607,2400
user3801616714551441941,2000
user4052466453699787802,2100
user7707045408439829514,2500
user7556898885097888000,1800
user5001830905879751599,2300
user5927764447963376991,1800
user8984750220696046997,3000
user2403344037387468491,3200
user6505711296087238960,2700
user7003502868094645332,2300
user1367116600241061507,1900
user8526469631673501982,1800
user3695667356213629465,2400
user1694555354510876180,1900
user5344789772525948776,1800
user4872108992151302153,2300
user6033932121519031350,2100
user7692426901869886023,2200
user3348582268060305055,2200
user7340313986402995367,1900
user296064362129060847,1500
user2181854641455466294,2200
user2765389277405034957,2300
user7229460130828073327,2600
user4188212785689627708,2100
user3353610095373871301,1800
user5701465539935650431,2200
user3122406690109035177,2500
user8170012179481642210,2800
user784141924803633292,2300
user7938248813704665638,2000
user6756779350453426704,2000
user4770627500614915475,1900
user6290028003198785340,2200
user5691314900167132738,2100
user3926870761478465589,2000
user658887877876609644,1800
user412164360235391016,2100
user5696001082186400419,2200
user1347470266357551770,2000
