database,run,scenario,requestdist_file,intensity,variant,Phase,Operation,rows,total_operations,mean_throughput_ops_sec,mean_latency_us,p95_latency_us,p99_latency_us
postgresql,3,zipfian_heavy_mixed,zipfian,heavy,mixed,extend,EXTEND,100,10000000.0,485.8811698207062,2112.9753377,4049.42,10455.62
postgresql,3,zipfian_heavy_mixed,zipfian,heavy,mixed,load,INSERT,1,10000.0,800.640512409928,1188.7163,1612.0,1720.0
postgresql,3,zipfian_heavy_mixed,zipfian,heavy,mixed,run,READ,100,4999625.0,1038.753615363477,293.22829532214917,599.3663250743806,728.9826374978123
postgresql,3,zipfian_heavy_mixed,zipfian,heavy,mixed,run,UPDATE,100,5000375.0,1038.8102605291035,1682.1982677299202,2270.443380146489,9805.832515761318
postgresql,4,uniform_heavy_mixed,uniform,heavy,mixed,extend,EXTEND,100,10000000.0,555.6096123668873,1847.272653,2357.9,9107.86
postgresql,4,uniform_heavy_mixed,uniform,heavy,mixed,load,INSERT,1,10000.0,723.6937328122739,1343.2747,1653.0,1747.0
postgresql,4,uniform_heavy_mixed,uniform,heavy,mixed,run,READ,100,4998985.0,1109.3282630724332,290.4631056104389,494.997316655281,614.2478327100401
postgresql,4,uniform_heavy_mixed,uniform,heavy,mixed,run,UPDATE,100,5001015.0,1109.128443380475,1567.8524695486817,2109.3077813203918,8921.24128201975
postgresql,4,zipfian_heavy,zipfian,heavy,base,extend,EXTEND,100,10000000.0,191.057071295587,7353.3758432,31529.35,56901.34
postgresql,4,zipfian_heavy,zipfian,heavy,base,load,INSERT,1,10000.0,738.1163271331562,1300.0505,1588.0,1681.0
postgresql,4,zipfian_heavy,zipfian,heavy,base,run,READ,100,10000000.0,4847.609756830084,643.2142577,2052.17,4598.9
postgresql,4,zipfian_heavy_mixed,zipfian,heavy,mixed,extend,EXTEND,100,10000000.0,467.250992255655,2189.8588752,4352.34,11038.5
postgresql,4,zipfian_heavy_mixed,zipfian,heavy,mixed,load,INSERT,1,10000.0,691.1805363560962,1408.1694,1667.0,1772.0
postgresql,4,zipfian_heavy_mixed,zipfian,heavy,mixed,run,READ,100,4999189.0,1012.3157015948639,314.72346974679294,626.035102293592,747.4175893329898
postgresql,4,zipfian_heavy_mixed,zipfian,heavy,mixed,run,UPDATE,100,5000811.0,1012.3750502269551,1708.8060708553073,2386.220234877903,9603.203987313258
