run_id,Epoch,value_size_p50,value_size_p90,value_size_p95,value_size_p99,value_size_max,frac_gt_2kb,frac_gt_8kb,frac_gt_32kb,est_toast_chunks_p95,est_toast_chunks_p99,est_toast_chunks_max
4,75,51100.0,84500.0,113904.99999999993,252906.00000000012,28678800,1.0,1.0,1.0,58.0,127.0,14369.0
4,76,51800.0,85610.00000000003,115404.99999999993,255911.00000000023,29068800,1.0,1.0,1.0,58.0,129.0,14564.0
4,77,52400.0,86710.00000000003,117100.0,258905.00000000012,29453900,1.0,1.0,1.0,59.0,130.0,14757.0
4,78,53100.0,87800.0,118304.99999999993,261911.00000000023,29841500,1.0,1.0,1.0,60.0,132.0,14951.0
4,79,53800.0,88800.0,119909.99999999985,265009.0000000002,30228900,1.0,1.0,1.0,61.0,133.0,15145.0
4,80,54400.0,89900.0,121309.99999999985,269210.00000000023,30615400,1.0,1.0,1.0,61.0,135.0,15339.0
4,81,55100.0,91000.0,122700.0,272511.00000000023,31002200,1.0,1.0,1.0,62.0,137.0,15533.0
4,82,55700.0,92100.0,123914.99999999978,276401.0,31375700,1.0,1.0,1.0,63.0,139.0,15720.0
4,83,56300.0,93400.0,125409.99999999985,279501.0,31762900,1.0,1.0,1.0,63.0,141.0,15914.0
4,84,57000.0,94500.0,126800.0,282515.00000000035,32146900,1.0,1.0,1.0,64.0,142.0,16106.0
4,85,57600.0,95600.0,128309.99999999985,286119.0000000004,32539200,1.0,1.0,1.0,65.0,144.0,16303.0
4,86,58300.0,96610.00000000003,129914.99999999978,288925.0000000005,32926700,1.0,1.0,1.0,66.0,145.0,16497.0
4,87,58900.0,97800.0,131209.99999999985,292323.0000000005,33301400,1.0,1.0,1.0,66.0,147.0,16685.0
4,88,59550.0,98700.0,132804.99999999994,295930.00000000064,33679800,1.0,1.0,1.0,67.0,149.0,16874.0
4,89,60300.0,100000.0,134409.99999999985,299829.00000000064,34065200,1.0,1.0,1.0,68.0,151.0,17067.0
4,90,60800.0,101100.0,135729.99999999956,303035.00000000076,34456600,1.0,1.0,1.0,69.0,152.0,17263.0
4,91,61600.0,102200.0,137814.99999999977,307323.0000000005,34837100,1.0,1.0,1.0,70.0,154.0,17454.0
4,92,62200.0,103500.0,139314.99999999977,311917.00000000035,35212400,1.0,1.0,1.0,70.0,157.0,17642.0
4,93,62900.0,104500.0,140709.99999999985,315616.00000000035,35591200,1.0,1.0,1.0,71.0,159.0,17832.0
4,94,63500.0,105410.00000000003,142209.99999999985,319225.0000000005,35985700,1.0,1.0,1.0,72.0,160.0,18029.0
4,95,64200.0,106610.00000000003,143604.99999999994,322716.00000000035,36354300,1.0,1.0,1.0,72.0,162.0,18214.0
4,96,64800.0,107800.0,145209.99999999985,327007.0000000002,36735200,1.0,1.0,1.0,73.0,164.0,18405.0
4,97,65500.0,108800.0,146714.99999999977,330312.00000000023,37116000,1.0,1.0,1.0,74.0,166.0,18596.0
4,98,66200.0,109900.0,148109.99999999985,333809.0000000002,37492800,1.0,1.0,1.0,75.0,168.0,18784.0
4,99,66800.0,111100.0,149704.99999999994,337706.0000000001,37873600,1.0,1.0,1.0,76.0,170.0,18975.0
4,100,67400.0,112100.0,151500.0,341802.00000000006,38247600,1.0,1.0,1.0,76.0,172.0,19163.0
5,1,1700.0,2300.0,2600.0,4600.0,385300,0.1907,0.0056,0.0021,2.0,3.0,194.0
5,2,2400.0,3400.0,4100.0,7800.0,770700,0.7747,0.0096,0.0033,3.0,4.0,387.0
5,3,3100.0,4500.0,5700.0,11301.000000000022,1157700,0.9799,0.0222,0.005,3.0,6.0,581.0
5,4,3800.0,5600.0,7200.0,14701.000000000022,1531400,0.9991,0.0388,0.0055,4.0,8.0,768.0
5,5,4500.0,6700.0,8600.0,18101.000000000022,1899900,1.0,0.0596,0.0058,5.0,10.0,952.0
5,6,5100.0,7800.0,10100.0,21600.0,2284100,1.0,0.0911,0.0065,6.0,11.0,1145.0
5,7,5800.0,9000.0,11600.0,25101.000000000022,2664700,1.0,0.1483,0.0075,6.0,13.0,1336.0
5,8,6500.0,10100.0,13100.0,28600.0,3051000,1.0,0.2337,0.0081,7.0,15.0,1529.0
5,9,7100.0,11200.0,14600.0,31700.0,3439300,1.0,0.3385,0.0099,8.0,16.0,1724.0
5,10,7800.0,12300.0,16100.0,35502.000000000044,3828100,1.0,0.4546,0.012,9.0,18.0,1918.0
5,11,8500.0,13400.0,17600.0,39400.0,4220000,1.0,0.5889,0.0142,9.0,20.0,2115.0
5,12,9100.0,14500.0,19204.999999999927,42404.00000000009,4597500,1.0,0.7314,0.0165,10.0,22.0,2304.0
5,13,9800.0,15600.0,20504.999999999927,45309.0000000002,4983900,1.0,0.8598,0.0211,11.0,23.0,2497.0
5,14,10500.0,16700.0,22100.0,49301.00000000002,5374700,1.0,0.9407,0.0259,12.0,25.0,2693.0
5,15,11100.0,17700.0,23500.0,52805.00000000011,5765800,1.0,0.9821,0.0293,12.0,27.0,2889.0
5,16,11800.0,18900.0,25200.0,56401.00000000002,6156700,1.0,0.9952,0.0324,13.0,29.0,3085.0
5,17,12500.0,20000.0,26600.0,59502.000000000044,6536900,1.0,0.9982,0.0348,14.0,30.0,3275.0
5,18,13100.0,21100.0,28100.0,62704.00000000009,6926100,1.0,0.9997,0.0383,15.0,32.0,3470.0
5,19,13800.0,22200.0,29504.999999999927,66302.00000000004,7315600,1.0,1.0,0.0431,15.0,34.0,3666.0
5,20,14400.0,23300.0,31000.0,69601.00000000003,7698500,1.0,1.0,0.0475,16.0,35.0,3857.0
5,21,15100.0,24400.0,32504.999999999927,73501.00000000003,8081000,1.0,1.0,0.0512,17.0,37.0,4049.0
5,22,15800.0,25410.000000000036,34100.0,76607.00000000015,8463600,1.0,1.0,0.0572,18.0,39.0,4241.0
5,23,16400.0,26600.0,35604.99999999993,80101.00000000003,8853200,1.0,1.0,0.0622,18.0,41.0,4436.0
5,24,17100.0,27610.000000000036,36909.999999999854,83104.00000000009,9229500,1.0,1.0,0.0684,19.0,42.0,4624.0
5,25,17800.0,28800.0,38600.0,87101.00000000003,9602900,1.0,1.0,0.0758,20.0,44.0,4812.0
5,26,18400.0,29900.0,39904.99999999993,90103.00000000006,9982400,1.0,1.0,0.0832,20.0,46.0,5002.0
