run_id,Epoch,AverageLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Throughput(ops/sec),blks_read_per_op_delta,blks_hit_per_op_delta,tup_returned_per_op_delta,tup_fetched_per_op_delta,tup_inserted_per_op_delta,tup_updated_per_op_delta,tup_deleted_per_op_delta,temp_bytes_per_op_delta,buffers_alloc_per_op_delta,wal_bytes_per_op_delta,wal_records_per_op_delta,wal_fpi_per_op_delta,reference_p95_us,avg-run_p95_us,clean-run_p95_us,main_minus_clean_p95_us,main_minus_avg_p95_us,main_minus_reference_p95_us,value_size_p50,value_size_p90,value_size_p95,value_size_p99,value_size_max,frac_gt_2kb,frac_gt_8kb,frac_gt_32kb,est_toast_chunks_p95,est_toast_chunks_p99,est_toast_chunks_max
3,61,488.87923,834,2033,2017.1050508310475,37.22456,98.55272,41.69264,41.42681,4e-05,0.00022,4e-05,0.0,1.44073,11518.83418,58.51474,38.38024,54,538,731,103,296,780,,,,,,,,,,,
3,62,479.03512,811,1928,2060.920819422118,39.30307,97.61304,42.88486,42.61106,6e-05,0.00033,6e-05,0.0,1.45168,11825.89393,60.73386,39.81271,55,551,726,85,260,756,,,,,,,,,,,
3,63,502.90403,781,1683,1964.057743297653,36.4655,99.4632,43.89172,43.61792,6e-05,0.00033,6e-05,0.0,1.42049,11965.86219,61.95583,40.69972,49,576,719,62,205,732,,,,,,,,,,,
3,64,516.15463,784,2217,1913.582609361246,44.26966,129.94628,43.84913,43.56657,6e-05,0.00033,6e-05,0.0,1.47752,13346.9654,69.06752,43.34931,50,584,733,51,200,734,,,,,,,,,,,
3,65,498.46399,804,1735,1981.1395514700052,42.69872,136.5638,44.32714,44.04459,4e-05,0.00022,4e-05,0.0,1.50326,13458.33292,70.13632,45.99884,53,583,724,80,221,751,,,,,,,,,,,
3,66,452.41702,759,1715,2181.786446742593,48.29215,102.18494,45.06445,44.79066,4e-05,0.00022,4e-05,0.0,1.45812,12933.97301,68.81062,45.02084,47,584,763,-4,175,712,,,,,,,,,,,
3,67,535.5538,868,2673,1843.14809694959,52.64412,105.09802,45.30002,45.01746,6e-05,0.00033,6e-05,0.0,1.56806,13383.62085,71.15701,46.72515,54,594,752,116,274,814,,,,,,,,,,,
3,68,544.32355,877,2467,1815.6399222906116,48.53032,102.22156,45.69376,45.4112,6e-05,0.00033,6e-05,0.0,1.53827,13062.11657,69.22321,45.29635,56,582,776,101,295,821,,,,,,,,,,,
3,69,538.52104,1035,2997,1835.3338472268103,55.08752,107.26795,45.93579,45.65741,4e-05,0.00022,4e-05,0.0,1.70225,13673.69545,73.01986,47.90966,47,586,751,284,449,988,,,,,,,,,,,
3,70,674.42356,1380,4303,1467.1576754353791,53.12019,102.15906,48.21397,47.92265,6e-05,0.00033,6e-05,0.0,1.87704,13481.26357,72.45532,47.50264,51,578,748,632,802,1329,,,,,,,,,,,
3,71,628.12453,1302,4115,1576.2925598991174,57.09892,108.27907,47.52731,47.24893,4e-05,0.00022,4e-05,0.0,1.89423,13943.48965,74.97951,49.24954,48,586,760,542,716,1254,,,,,,,,,,,
3,72,612.92741,1549,4595,1614.6741587547633,55.10855,105.0058,49.23561,48.95305,6e-05,0.00033,6e-05,0.0,2.01002,13925.3043,75.43591,49.53735,52,573,739,810,976,1497,,,,,,,,,,,
3,73,679.4608,1293,4651,1456.23998835008,57.14377,105.69508,50.81297,50.52165,6e-05,0.00033,6e-05,0.0,1.93531,14039.39301,76.3068,49.94861,54,599,774,519,694,1239,,,,,,,,,,,
3,74,619.72024,1148,3923,1596.4749832370126,57.02072,107.16767,50.91554,50.62422,6e-05,0.00033,6e-05,0.0,1.90657,14184.67774,77.18779,50.60464,48,596,802,346,552,1100,,,,,,,,,,,
3,75,594.57627,878,3249,1663.8381418255633,55.69099,106.10683,50.67958,50.38746,6e-05,0.00033,6e-05,0.0,1.71672,14210.06568,78.08967,51.28119,51,589,795,83,289,827,,,,,,,,,,,
3,76,594.06536,906,3431,1665.5008160953998,54.02614,106.54485,49.52186,49.23054,6e-05,0.00033,6e-05,97.53792,1.72514,14041.06468,76.49793,50.22824,53,587,778,128,319,853,,,,,,,,,,,
