run,Phase,Epoch,wal_bytes_per_op
6,run,49,216430.77465
6,run,50,221736.96058
6,run,51,225214.04953
6,run,52,229495.0963
6,run,53,237195.53807
6,run,54,240463.13058
6,run,55,245391.37969
6,run,56,249343.01559
6,run,57,253625.80168
6,run,58,257202.37741
6,run,59,259846.20285
6,run,60,267294.26677
6,run,61,270450.65998
6,run,62,273533.35932
6,run,63,279655.53786
6,run,64,290256.59606
6,run,65,290895.74463
6,run,66,297346.00367
6,run,67,301314.07179
6,run,68,307639.90715
6,run,69,314748.98033
6,run,70,316962.50883
6,run,71,323427.0176
6,run,72,324845.77638
6,run,73,332591.63165
6,run,74,335686.71368
6,run,75,342716.78698
6,run,76,346500.73544
6,run,77,353663.0329
6,run,78,356264.52031
6,run,79,365860.83796
6,run,80,363364.85968
6,run,81,369096.52013
6,run,82,372919.19152
6,run,83,380109.37684
6,run,84,383125.51837
6,run,85,391777.20513
6,run,86,398231.74873
6,run,87,401461.84672
6,run,88,406167.84516
6,run,89,412867.02282
6,run,90,413045.6432
6,run,91,419895.28641
6,run,92,431528.25969
6,run,93,429280.41291
6,run,94,442860.72295
6,run,95,441733.04745
6,run,96,447426.32544
6,run,97,452847.91275
6,run,98,461411.4485
6,run,99,465901.96922
6,run,100,467174.8475
