Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,CPU,Memory,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK,WatcherSamples,WatcherCPU_min,WatcherCPU_q1,WatcherCPU_median,WatcherCPU_q3,WatcherCPU_max,WatcherMemoryKB_min,WatcherMemoryKB_q1,WatcherMemoryKB_median,WatcherMemoryKB_q3,WatcherMemoryKB_max
5,clean-run,10000,True,uniform,READ,17.6,6.8,501,2163905,685103,675011,67369,1,0,0,4,385024,681,42621,387218300,560854007,6446886467,11815796396,1119635345,168793552,22861476509073,26821509941,3545955897,79378791,1,0,0,0,0,7645,13080.444735120996,100000,71.49745,36,15975,96,228,100000,7,30.8,58.849999999999994,67.5,68.7,89.1,106176.0,107324.0,108440.0,109646.0,230420.0
5,avg-run,10000,True,uniform,READ,0.2,6.1,503,5864509,1829731,1778709,147630,5,0,0,4,385024,681,42621,387218300,560854007,6446886467,11815805064,1119635345,168793552,22861551253449,26821689369,3545955901,79378791,1,0,0,0,0,7468,13390.46598821639,100000,70.07007,49,13367,97,138,100000,7,36.1,59.75,66.9,68.85,70.7,105424.0,105936.0,105936.0,105936.0,105936.0
6,extend,10000,True,zipfian,EXTEND,0.2,7.0,2,33851464,9829330,9412896,2834027,600221,2756895,0,0,0,681,42625,387463384,560854007,6446922018,11815824825,1119752972,168793622,22863774993663,26825109920,3546217543,79378791,0,0,0,0,1,176859,565.4221724650711,100000,1759.20557,302,17487,4551,8123,100000,168,15.2,24.8,25.1,25.2,40.5,109668.0,643879.0,860696.0,882918.0,1753740.0
6,run,10000,True,uniform,READ,0.2,7.0,2,37261670,10740570,10302814,2834299,600232,2757165,0,0,0,681,42625,387470904,560854007,6446922021,11815824828,1119752972,168793622,22863823313371,26825332914,3546270457,79378925,1,0,0,0,0,9147,10932.546190007652,100000,86.83769,42,14111,122,270,100000,8,38.7,66.225,71.44999999999999,73.375,75.3,658400.0,764528.0,771200.0,772437.0,773684.0
6,reference,10000,True,uniform,READ,0.2,7.0,1,1855570,745298,608439,10119,1,0,0,0,0,681,42625,387470954,560854007,6446922021,11815824828,1119752972,168793622,22863823313371,26825332914,3546270457,79378925,1,0,0,0,0,4589,21791.239921551536,100000,41.22305,27,12495,54,85,100000,4,32.2,45.325,51.05,53.05,55.0,42744.0,42744.0,42744.0,42744.0,42744.0
6,clean-run,10000,True,uniform,READ,0.2,7.1,469,2565215,819755,808786,75341,1,0,0,4,385024,681,42626,387564057,560854007,6446922022,11815836070,1119786151,168793689,22863912814690,26825478303,3546271446,79383939,1,0,0,0,0,8599,11629.25921618793,100000,81.01634,40,14167,114,258,100000,8,34.7,61.0,67.25,75.75,90.3,113572.0,121498.0,123418.0,155797.0,255680.0
6,avg-run,10000,True,uniform,READ,0.2,7.1,471,6558161,2053631,2002609,165341,5,0,0,4,385024,681,42626,387564057,560854007,6446922022,11815846370,1119786151,168793689,22863997968120,26825668630,3546271448,79383939,1,0,0,0,0,8102,12342.631449024931,100000,76.16289,52,15151,96,142,100000,7,34.7,58.95,65.4,68.65,70.3,119532.0,120172.0,120172.0,120172.0,120172.0
7,extend,10000,True,zipfian,EXTEND,0.3,8.2,2,44690512,13116226,12622381,3837962,700265,3754460,0,0,0,681,42631,387886143,560854007,6446971893,11815877364,1119922348,168794077,22866702635878,26829706206,3546578308,79383939,0,0,0,0,1,184887,540.8709103398292,100000,1840.49721,299,19935,5275,8991,100000,176,18.4,27.3,27.7,32.3,45.7,115160.0,726261.0,1033122.0,1693119.0,2190524.0
7,run,10000,True,uniform,READ,0.3,8.2,2,48367369,14089090,13573923,3838264,700276,3754752,0,0,0,681,42631,387899228,560854007,6446971968,11815877439,1119922348,168794077,22866765100370,26829973589,3546651600,79384295,1,0,0,0,0,9759,10246.951531919254,100000,92.53863,44,58207,128,277,100000,9,32.2,65.3,72.1,74.8,76.2,696772.0,914072.0,916748.0,917932.0,919888.0
7,reference,10000,True,uniform,READ,0.3,8.2,1,2158231,870992,709730,10119,1,0,0,0,0,681,42631,387899280,560854007,6446971968,11815877439,1119922348,168794077,22866765100370,26829973589,3546651600,79384295,1,0,0,0,0,4654,21486.892995272883,100000,41.50032,26,16343,54,86,100000,4,28.5,42.525000000000006,48.75,50.925,52.8,42812.0,42812.0,42812.0,42812.0,42812.0
