Epoch,header_epoch,header_run,phase,probe,size_bytes,lookup_shared_hit,lookup_execution_ms,array_length_shared_hit,array_length_execution_ms,serialize_shared_hit,serialize_execution_ms
47,5,7,post-run,p99,161000,3,0.047,96,0.629,96,1.181
47,5,7,post-run,max,17924200,3,0.05,2435,16.093,2435,89.133
48,5,8,post-run,min,22500,3,0.052,71,0.415,71,0.484
48,5,8,post-run,p50,33100,3,0.048,77,0.449,77,0.565
48,5,8,post-run,p90,54200,3,0.046,81,0.517,81,0.688
48,5,8,post-run,p95,73400,3,0.047,86,0.564,86,0.785
48,5,8,post-run,p99,164200,3,0.052,93,0.53,93,1.194
48,5,8,post-run,max,18306500,3,0.048,2482,15.845,2482,90.149
49,5,9,post-run,min,23100,3,0.058,76,0.428,76,0.488
49,5,9,post-run,p50,33700,3,0.052,80,0.465,80,0.573
49,5,9,post-run,p90,55300,3,0.053,82,0.494,82,0.673
49,5,9,post-run,p95,74700,3,0.048,83,0.47,83,0.774
49,5,9,post-run,p99,166600,3,0.048,99,0.633,99,1.304
49,5,9,post-run,max,18684800,4,0.054,2536,16.966,2536,92.518
50,5,10,post-run,min,23700,4,0.063,77,0.423,77,0.54
50,5,10,post-run,p50,34400,3,0.053,76,0.426,76,0.534
50,5,10,post-run,p90,56300,3,0.055,83,0.527,83,0.721
50,5,10,post-run,p95,76300,3,0.052,84,0.525,84,0.8
50,5,10,post-run,p99,169900,3,0.05,97,0.656,97,1.243
50,5,10,post-run,max,19070400,4,0.057,2620,16.917,2620,92.692
51,6,1,post-run,min,24000,4,0.07,76,0.453,76,0.543
51,6,1,post-run,p50,35000,3,0.054,77,0.461,77,0.565
51,6,1,post-run,p90,57500,3,0.05,82,0.475,82,0.693
51,6,1,post-run,p95,77600,3,0.057,84,0.557,84,0.816
51,6,1,post-run,p99,173900,3,0.051,99,0.631,99,1.267
51,6,1,post-run,max,19446100,4,0.054,4489,21.561,4489,98.138
52,6,2,post-run,min,24500,3,0.052,76,0.42,76,0.489
52,6,2,post-run,p50,35700,3,0.052,79,0.47,79,0.609
52,6,2,post-run,p90,58500,3,0.049,79,0.456,79,0.659
52,6,2,post-run,p95,79200,3,0.05,84,0.501,84,0.808
52,6,2,post-run,p99,177100,3,0.046,98,0.61,98,1.276
52,6,2,post-run,max,19830900,3,0.047,2778,16.665,2778,96.614
53,6,3,post-run,min,25000,3,0.049,76,0.42,76,0.461
53,6,3,post-run,p50,36300,3,0.051,78,0.4,78,0.542
53,6,3,post-run,p90,59700,3,0.051,82,0.48,82,0.664
53,6,3,post-run,p95,80700,3,0.048,85,0.502,85,0.783
53,6,3,post-run,p99,180500,3,0.049,99,0.581,99,1.253
53,6,3,post-run,max,20224200,4,0.064,2867,16.676,2867,98.354
54,6,4,post-run,min,25600,3,0.048,76,0.496,76,0.499
54,6,4,post-run,p50,37000,3,0.047,78,0.464,78,0.572
54,6,4,post-run,p90,60800,3,0.047,83,0.526,83,0.789
54,6,4,post-run,p95,82000,3,0.049,85,0.522,85,0.779
54,6,4,post-run,p99,183400,3,0.045,98,0.615,98,1.307
54,6,4,post-run,max,20607000,4,0.053,2855,16.419,2855,99.36
55,6,5,post-run,min,25700,3,0.049,76,0.388,76,0.497
55,6,5,post-run,p50,37700,3,0.05,79,0.498,79,0.605
55,6,5,post-run,p90,61900,3,0.066,78,0.441,78,0.665
55,6,5,post-run,p95,83400,3,0.046,86,0.491,86,0.765
55,6,5,post-run,p99,185800,3,0.047,99,0.675,99,1.326
55,6,5,post-run,max,20988100,4,0.059,2896,17.193,2896,102.192
56,6,6,post-run,min,25900,3,0.049,76,0.421,76,0.476
56,6,6,post-run,p50,38300,3,0.048,78,0.442,78,0.589
56,6,6,post-run,p90,63000,3,0.046,82,0.45,82,0.68
56,6,6,post-run,p95,85100,3,0.051,86,0.517,86,0.895
56,6,6,post-run,p99,189800,3,0.049,100,0.639,100,1.38
56,6,6,post-run,max,21366600,4,0.054,2885,17.008,2885,102.649
57,6,7,post-run,min,26500,3,0.055,76,0.447,76,0.546
57,6,7,post-run,p50,39000,3,0.053,81,0.487,81,0.59
57,6,7,post-run,p90,64100,3,0.049,83,0.528,83,0.776
57,6,7,post-run,p95,86600,3,0.054,86,0.481,86,0.845
57,6,7,post-run,p99,193300,3,0.048,101,0.615,101,1.366
57,6,7,post-run,max,21756700,4,0.054,2941,17.467,2941,105.087
58,6,8,post-run,min,26900,3,0.051,76,0.452,76,0.51
58,6,8,post-run,p50,39600,3,0.052,80,0.473,80,0.623
58,6,8,post-run,p90,65400,3,0.047,82,0.478,82,0.697
58,6,8,post-run,p95,88100,3,0.048,87,0.511,87,0.89
58,6,8,post-run,p99,196900,3,0.047,102,0.616,102,1.446
58,6,8,post-run,max,22142200,4,0.054,2988,19.986,2988,108.624
59,6,9,post-run,min,27300,3,0.05,76,0.409,76,0.509
59,6,9,post-run,p50,40300,4,0.06,80,0.468,80,0.622
59,6,9,post-run,p90,66400,3,0.05,82,0.464,82,0.71
59,6,9,post-run,p95,89700,3,0.072,87,0.515,87,0.814
59,6,9,post-run,p99,200000,3,0.052,103,0.65,103,1.425
59,6,9,post-run,max,22513500,4,0.055,3076,19.138,3076,107.317
60,6,10,post-run,min,28200,3,0.064,79,0.464,79,0.618
60,6,10,post-run,p50,41000,3,0.052,82,0.462,82,0.603
60,6,10,post-run,p90,67500,3,0.049,84,0.508,84,0.734
60,6,10,post-run,p95,91200,3,0.049,87,0.533,87,0.863
60,6,10,post-run,p99,203500,3,0.052,102,0.705,102,1.424
60,6,10,post-run,max,22903000,4,0.056,3102,20.527,3102,110.331
61,7,1,post-run,min,28400,3,0.05,78,0.442,78,0.528
61,7,1,post-run,p50,41600,3,0.048,79,0.469,79,0.615
61,7,1,post-run,p90,68700,3,0.054,85,0.534,85,0.741
61,7,1,post-run,p95,93000,4,0.054,90,0.526,90,0.914
61,7,1,post-run,p99,206800,3,0.049,102,0.648,102,1.405
61,7,1,post-run,max,23275400,4,0.051,3490,21.849,3490,113.053
62,7,2,post-run,min,29300,3,0.048,78,0.433,78,0.479
62,7,2,post-run,p50,42300,3,0.052,78,0.429,78,0.592
62,7,2,post-run,p90,69800,3,0.068,83,0.498,83,0.761
62,7,2,post-run,p95,94100,3,0.049,86,0.509,86,0.895
62,7,2,post-run,p99,210100,3,0.047,101,0.655,101,1.427
62,7,2,post-run,max,23662500,3,0.065,3187,22.014,3187,113.655
63,7,3,post-run,min,29600,3,0.054,80,0.455,80,0.505
63,7,3,post-run,p50,43000,3,0.05,78,0.407,78,0.578
63,7,3,post-run,p90,70800,3,0.049,84,0.528,84,0.779
63,7,3,post-run,p95,95600,3,0.048,86,0.51,86,0.84
63,7,3,post-run,p99,212700,3,0.049,105,0.678,105,1.47
63,7,3,post-run,max,24045200,3,0.049,3241,21.396,3241,118.344
64,7,4,post-run,min,30100,3,0.05,81,0.48,81,0.573
64,7,4,post-run,p50,43600,3,0.05,79,0.418,79,0.616
64,7,4,post-run,p90,72000,3,0.052,85,0.519,85,0.769
64,7,4,post-run,p95,97000,3,0.048,87,0.502,87,0.877
64,7,4,post-run,p99,216400,3,0.047,104,0.625,104,1.421
64,7,4,post-run,max,24430800,3,0.048,3315,20.048,3315,118.549
65,7,5,post-run,min,30600,3,0.054,81,0.453,81,0.511
65,7,5,post-run,p50,44300,3,0.046,81,0.455,81,0.612
65,7,5,post-run,p90,73100,3,0.047,85,0.546,85,0.975
65,7,5,post-run,p95,98400,3,0.049,87,0.51,87,0.861
65,7,5,post-run,p99,219100,3,0.05,103,0.702,103,1.489
65,7,5,post-run,max,24819000,4,0.055,3414,20.569,3414,121.673
66,7,6,post-run,min,31200,3,0.054,82,0.519,82,0.577
66,7,6,post-run,p50,45000,3,0.058,77,0.479,77,0.673
66,7,6,post-run,p90,74300,3,0.054,83,0.514,83,0.79
66,7,6,post-run,p95,100100,3,0.052,90,0.547,90,0.893
66,7,6,post-run,p99,222600,3,0.072,105,0.679,105,1.5
66,7,6,post-run,max,25200100,4,0.056,3427,20.869,3427,123.358
67,7,7,post-run,min,31500,3,0.049,81,0.468,81,0.55
67,7,7,post-run,p50,45600,3,0.047,80,0.471,80,0.607
67,7,7,post-run,p90,75300,3,0.051,87,0.544,87,0.735
67,7,7,post-run,p95,101900,3,0.054,87,0.5,87,0.899
67,7,7,post-run,p99,226000,3,0.055,105,0.74,105,1.5
67,7,7,post-run,max,25586900,4,0.054,3483,20.93,3483,124.879
68,7,8,post-run,min,32100,3,0.053,80,0.5,80,0.558
