peak_epoch,feature,peak_value,local_nonpeak_mean,peak_minus_local,peak_vs_local_ratio
49,vacuum_dead_tuples_max,6514666.0,6305225.25,209440.75,1.0332170131431864
61,p95_us,1335.0,1160.25,174.75,1.1506140917905623
61,avg_us,717.29312,705.59927,11.693849999999998,1.0165729338127008
61,runtime_ms,72350.0,71201.5,1148.5,1.0161302781542523
61,value_p95_bytes,93000.0,92659.99999999985,340.0000000001455,1.003669328728687
61,value_p99_bytes,206801.00000000003,206579.0000000001,221.9999999999418,1.0010746494077323
61,value_pct_gt_128k,2.79,2.7875,0.0024999999999999467,1.0008968609865472
61,sample_key_p95_bytes,97312.9,96888.97499999998,423.92500000001746,1.004375368817763
61,sample_key_p99_bytes,175945.93,200717.7074999998,-24771.777499999793,0.8765839954603915
61,sample_pct_gt_128k,2.4,2.7750000000000004,-0.37500000000000044,0.8648648648648647
61,sample_latency_p95_us,1257.9999999999982,1105.149999999999,152.84999999999923,1.1383070171469931
61,slow_rate_pct,8.293000000000001,6.44475,1.848250000000001,1.2867838162845728
61,slow_key_p50_bytes,83924.0,120961.875,-37037.875,0.6938053828944037
61,slow_key_p95_bytes,772866.0,1010428.0,-237562.0,0.7648897298966378
61,slow_latency_p95_us,7470.0,10527.774999999994,-3057.774999999994,0.7095516384041266
61,slow_query_execute_us_share_mean,0.6239916572918819,0.5895569113688245,0.0344347459230574,1.058407840293327
61,slow_json_parse_us_share_mean,0.3172335247131736,0.34681968461178536,-0.02958615989861174,0.9146929623336427
61,duration_vacuum_s,327.169,306.54075,20.62824999999998,1.0672936632405317
61,duration_run_s,72.688,71.5675,1.120500000000007,1.0156565480141126
61,run_delta_blks_read,23368.0,11943.75,11424.25,1.9565044479330194
61,run_wait_io_mean,0.12962962962962962,0.06042723693250886,0.06920239269712077,2.145218550608443
61,run_wait_io_max,1.0,0.75,0.25,1.3333333333333333
61,run_os_disk_read_kb_s_mean,0.0,0.0,0.0,
61,run_os_disk_write_kb_s_mean,0.0,0.0,0.0,
61,run_os_disk_await_ms_mean,0.0,0.0,0.0,
61,run_os_disk_util_pct_mean,0.0,0.0,0.0,
61,extend_delta_checkpoints_req,45.0,45.5,-0.5,0.989010989010989
61,extend_delta_checkpoint_write_time,603185.0,608459.5,-5274.5,0.9913313868877057
61,vacuum_delta_checkpoints_req,2.0,1.5,0.5,1.3333333333333333
61,vacuum_delta_checkpoint_write_time,162596.0,190205.25,-27609.25,0.8548449635328152
61,vacuum_toast_samples,315.0,295.5,19.5,1.0659898477157361
61,vacuum_dead_tuples_max,7368628.0,8128425.5,-759797.5,0.9065258702315719
73,p95_us,1928.0,1578.0,350.0,1.2217997465145753
73,avg_us,918.52552,856.690585,61.83493499999997,1.0721788427265135
73,runtime_ms,92526.0,86326.25,6199.75,1.0718176684380476
73,value_p95_bytes,110200.0,110331.24999999991,-131.2499999999127,0.9988104004984997
73,value_p99_bytes,245901.00000000003,245654.25000000006,246.7499999999709,1.0010044605375237
73,value_pct_gt_128k,3.52,3.5275000000000003,-0.007500000000000284,0.9978738483345144
73,sample_key_p95_bytes,125817.49999999996,119752.89999999997,6064.599999999991,1.050642614917885
73,sample_key_p99_bytes,272557.54999999993,253165.67999999985,19391.870000000083,1.0765975467132831
73,sample_pct_gt_128k,4.7,3.875,0.8250000000000002,1.2129032258064516
73,sample_latency_p95_us,2048.1499999999996,1521.7249999999995,526.4250000000002,1.345939640868094
73,slow_rate_pct,12.794,10.81025,1.9837500000000006,1.1835063943942092
73,slow_key_p50_bytes,86509.0,104639.0,-18130.0,0.8267376408413689
73,slow_key_p95_bytes,399806.0,676427.25,-276621.25,0.5910554313120886
73,slow_latency_p95_us,7555.149999999958,7831.275000000001,-276.12500000004275,0.9647407350654852
73,slow_query_execute_us_share_mean,0.6898809490886036,0.6223545800771719,0.06752636901143172,1.1085014414179428
73,slow_json_parse_us_share_mean,0.26386136603112537,0.3208940039083904,-0.057032637877265036,0.8222695432677924
