Epoch,phase,duration_s,delta_checkpoints_timed,delta_checkpoints_req,delta_checkpoint_write_time,delta_checkpoint_sync_time,delta_buffers_checkpoint,delta_buffers_clean,delta_buffers_backend,delta_buffers_alloc,delta_wal_bytes,delta_wal_records
40,avg-run,43.707,0,0,0,0,437,0,0,0,50,1
40,clean-run,45.998,0,0,0,0,0,0,0,510,50,1
40,extend,422.554,0,29,423030,14341,2695726,5015,325751,1442307,15780352786,18218321
40,reference,5.452,0,0,0,0,54,2700,0,1666,0,0
40,run,46.252,0,0,0,0,461,22200,0,544,100,2
40,vacuum,137.603,0,1,61610,8373,341878,20834,1524972,4916,752662448,3912572
41,avg-run,44.856,0,0,0,0,448,0,0,0,50,1
41,clean-run,46.032,0,0,0,0,0,0,0,840,50,1
41,extend,423.178,0,29,429721,19383,2656843,3776,441158,1412536,16056593233,18488421
41,reference,5.599,0,0,0,0,9894,2800,0,1666,0,0
41,run,47.327,0,1,0,0,89337,23000,32849,228,50,1
41,vacuum,112.363,0,0,91884,8788,53283,30146,1440441,5029,587212051,3988605
42,avg-run,45.482,0,0,0,0,454,0,2,2,3084411,51890
42,clean-run,47.304,0,0,0,0,0,0,0,461,50,1
42,extend,426.919,0,30,426066,17338,2781686,2159,365992,1411326,16413220624,18815832
42,reference,5.385,0,0,0,0,0,2700,0,1666,0,0
42,run,49.392,0,0,107388,8886,178,24100,2383,625,214,3
42,vacuum,139.572,0,1,22891,8676,190077,39374,1592813,4012,718298567,4062235
43,avg-run,46.124,0,0,0,0,460,0,4,3,3576936,60102
43,clean-run,47.86,0,0,0,0,0,0,0,52,50,1
43,extend,443.175,0,31,442861,18971,2719396,2652,464128,1577228,16822824007,19192264
43,reference,5.489,0,0,0,0,0,2800,0,1688,18890,16
43,run,50.703,0,0,88931,7242,17928,24400,642,4328,214,3
43,vacuum,140.782,0,1,56835,8847,388438,14633,1568027,7027,819572353,4262031
44,avg-run,46.744,0,0,59131,4,361,0,0,2,2930113,49274
44,clean-run,48.669,0,0,0,0,0,0,0,87,50,1
44,extend,456.646,0,32,454561,21029,2757154,4280,531838,1668311,17352492494,19737139
44,reference,5.466,0,0,0,0,0,2800,0,1666,0,0
44,run,53.38,0,0,88832,8818,27888,25900,2663,601,264,4
44,vacuum,142.681,0,1,50776,8911,295253,14241,1582900,4874,828885098,4434599
45,avg-run,47.469,0,0,29979,3091,63,0,0,2,3304645,55622
45,clean-run,49.583,0,0,0,0,0,0,0,832,50,1
45,extend,487.691,0,33,405306,35098,2627984,5587,849143,1709973,17737445784,20203391
45,reference,5.384,0,0,0,0,53,2700,0,1666,0,0
45,run,51.293,0,0,0,0,505,25200,0,697,50,1
45,vacuum,140.664,0,1,47065,8583,407905,19805,1394514,5301,875697554,4549162
46,avg-run,49.451,0,0,0,0,0,0,0,3,3969779,66721
46,clean-run,50.532,0,0,0,0,0,0,0,167,50,1
46,extend,496.002,0,34,417580,35096,2685928,8081,834681,1744480,18098843685,20569399
46,reference,5.707,0,0,0,0,57,2800,0,1666,0,0
46,run,53.343,0,0,0,0,527,26200,0,5614,50,1
46,vacuum,138.5,0,1,77399,8737,270282,36410,1442815,6596,881903764,4680122
47,avg-run,49.889,0,0,0,0,0,0,0,2,3031842,50999
47,clean-run,49.908,0,0,0,0,12830,0,1,70,50,1
47,extend,512.954,0,35,417649,56312,2522463,10733,1224983,1801287,18619795161,21134342
47,reference,5.631,0,0,0,0,2,2800,0,1666,0,0
47,run,55.678,0,0,0,0,13667,27114,59,18598,50,1
47,vacuum,163.407,0,1,92909,8478,281389,49683,1685457,11523,892588075,4939508
48,avg-run,50.656,0,0,0,0,12296,0,6,4,4005931,66987
48,clean-run,52.666,0,0,0,0,11141,0,0,461,50,1
48,extend,514.077,0,36,427145,45831,2799537,5295,998805,1854023,19180668736,21736834
48,reference,5.454,0,0,0,0,55,2800,0,1666,0,0
48,run,56.358,0,0,0,0,562,27700,2351,18959,50,1
48,vacuum,167.35,0,1,90118,8511,296010,57550,1594900,11340,898394311,4994937
49,avg-run,51.738,0,0,0,0,10713,0,6,4,4286998,71751
49,clean-run,53.606,0,0,0,0,11090,0,4,54,100,2
49,extend,497.503,0,35,474183,26259,2954578,3831,701422,1869692,19364201361,21776188
49,reference,5.269,0,0,0,0,7461,2600,0,1559,0,0
49,run,57.673,0,1,0,0,78453,28400,2187,16775,50,1
49,vacuum,196.35,0,1,197198,17857,440276,38911,1844270,11568,939685836,5121904
50,avg-run,52.011,0,0,0,0,7295,0,6,4,4286948,71750
50,clean-run,53.544,0,0,0,0,9630,0,0,561,50,1
50,extend,520.882,0,36,503544,17852,3308436,3579,478480,1928159,19996025365,22615765
50,reference,6.249,0,0,0,0,8539,3100,0,1666,0,0
50,run,58.228,0,0,0,0,24699,27696,0,1229,50,1
50,vacuum,204.331,0,2,157291,18061,251751,56022,2033450,6955,902014218,4980541
51,avg-run,52.842,0,0,0,0,5876,0,6,4,4286939,71750
51,clean-run,56.226,0,0,0,0,10799,0,5,231,100,2
51,extend,511.336,0,36,501357,14256,3466519,2897,295592,1945817,20288248943,22870825
51,reference,5.723,0,0,0,0,47,2800,0,1666,0,0
51,run,56.755,0,0,0,0,563,27751,0,840,50,1
51,vacuum,240.641,0,1,124353,8853,432673,66544,2318373,7053,867767826,4943024
52,avg-run,53.338,0,0,0,0,3480,0,6,4,4286821,71748
52,clean-run,56.94,0,0,0,0,8968,0,1,52,50,1
52,extend,526.225,0,38,512502,19058,3686366,4824,377539,1765771,21025863218,23824723
52,reference,5.696,0,0,0,0,6749,2800,0,1559,0,0
52,run,61.199,0,0,0,0,62371,29823,696,527,0,0
52,vacuum,244.133,0,2,226721,20930,374317,66687,2377052,6244,851539817,4949280
53,avg-run,54.175,0,0,0,0,865,0,6,4,4497628,75321
53,clean-run,58.144,0,0,0,0,5743,0,6,638,100,2
53,extend,538.961,0,39,520441,24019,3835631,3711,431217,1886940,21667087152,24550114
53,reference,5.736,0,0,0,0,7669,2800,0,1559,0,0
53,run,59.335,0,0,0,0,45461,29000,358,249,50,1
53,vacuum,246.208,0,2,186709,18057,241311,63702,2435738,6148,828752003,5025470
54,avg-run,55.021,0,0,0,0,861,0,6,4,4497625,75321
54,clean-run,57.39,0,0,0,0,4391,0,91,749,4630669,77702
54,extend,546.291,0,39,532535,12740,3602350,5881,325483,1999284,21787221445,24564485
54,reference,5.623,0,0,0,0,365,2800,0,1666,0,0
54,run,63.109,0,0,0,0,55225,30900,3015,9868,50,1
54,vacuum,273.47,0,2,148752,8804,369994,78062,2545262,10099,823180879,5212840
55,avg-run,55.951,0,0,0,0,811,0,6,4,4497504,75319
55,clean-run,58.571,0,0,0,0,3592,0,4,54,100,2
55,extend,565.038,0,40,551953,20403,3638904,4504,368222,1915555,22018240137,24693409
55,reference,6.14,0,0,0,0,7119,3000,0,1599,0,0
55,run,60.708,0,0,0,0,45131,29900,0,1074,50,1
55,vacuum,271.657,0,2,228436,19870,359117,71008,2604204,6857,924282539,5307164
56,avg-run,56.617,0,0,0,0,827,0,6,4,4497551,75320
56,clean-run,59.539,0,0,0,0,2945,0,7,678,4795220,80491
56,extend,586.604,0,41,555985,44250,3398249,5399,971259,1943096,22446467152,24842843
56,reference,5.615,0,0,0,0,0,2800,0,1666,0,0
56,run,61.937,0,1,158617,8367,9986,30400,1563,992,214,3
56,vacuum,263.437,0,1,117364,9493,457771,19201,2083461,8039,1059831551,5805718
57,avg-run,57.188,0,0,0,0,865,0,6,4,4497607,75321
57,clean-run,60.402,0,0,0,0,804,0,6,56,4880062,81929
57,extend,643.602,0,42,580934,77656,3036525,10858,1629583,2220532,23182061415,25697099
57,reference,5.739,0,0,0,0,1813,2800,0,1559,0,0
57,run,66.926,0,0,0,0,16139,32698,220,14204,50,1
57,vacuum,284.929,0,2,145351,8692,293848,92513,2485578,12543,1098798178,6133705
58,avg-run,57.897,0,0,0,0,828,0,6,4,4497542,75320
58,clean-run,60.892,0,0,0,0,798,0,6,56,4960066,83285
58,extend,639.726,0,43,597234,64016,3001512,7101,1525909,2234849,23330518342,25774178
