Epoch,source,run_quartile,n,rate_pct,latency_p50_us,latency_p95_us,key_p50_bytes,key_p95_bytes
24,read_sample,q3,250,1.0,226.0,400.09999999999997,18250.0,33926.249999999985
24,read_sample,q4,250,1.0,231.0,538.5999999999998,18839.5,47955.19999999987
25,read_sample,q1,250,1.0,256.0,530.8499999999999,19433.5,39475.649999999994
25,read_sample,q2,250,1.0,239.0,447.29999999999956,19845.5,42913.64999999998
25,read_sample,q3,250,1.0,230.0,452.2999999999999,18930.0,41769.84999999996
25,read_sample,q4,250,1.0,228.5,557.1999999999999,18920.0,48998.59999999995
26,read_sample,q1,250,1.0,261.0,518.0,19797.0,36693.14999999999
26,read_sample,q2,250,1.0,243.0,440.2499999999998,20192.5,41472.799999999996
26,read_sample,q3,250,1.0,236.0,502.39999999999986,19332.5,44264.4
26,read_sample,q4,250,1.0,229.5,415.69999999999976,19397.5,37020.399999999936
27,read_sample,q1,250,1.0,253.5,499.69999999999976,19863.0,44313.44999999998
27,read_sample,q2,250,1.0,244.0,512.7499999999995,20410.5,45098.84999999999
27,read_sample,q3,250,1.0,243.5,464.0499999999995,20567.5,46081.54999999998
27,read_sample,q4,250,1.0,251.0,476.8499999999999,20603.5,44910.94999999993
28,read_sample,q1,250,1.0,264.5,618.7499999999999,21239.5,42917.54999999995
28,read_sample,q2,250,1.0,241.0,410.19999999999993,20583.0,39368.29999999996
28,read_sample,q3,250,1.0,244.5,443.54999999999995,21235.5,37180.75
28,read_sample,q4,250,1.0,250.0,432.8499999999999,21434.5,41773.69999999997
29,read_sample,q1,250,1.0,276.0,699.8499999999989,21421.0,49533.64999999997
29,read_sample,q2,250,1.0,261.0,524.5999999999998,22039.0,51538.299999999974
29,read_sample,q3,250,1.0,253.0,481.3499999999997,21527.0,47140.59999999997
29,read_sample,q4,250,1.0,265.5,578.7499999999985,22501.5,52439.29999999999
30,read_sample,q1,250,1.0,275.0,920.3,23052.0,76510.09999999987
30,read_sample,q2,250,1.0,265.0,446.19999999999993,22958.0,46883.44999999997
30,read_sample,q3,250,1.0,254.5,491.09999999999997,22379.5,48190.549999999974
30,read_sample,q4,250,1.0,265.0,492.9499999999998,22790.5,46725.99999999993
31,read_sample,q1,250,1.0,287.5,633.4999999999991,23224.5,53926.299999999996
31,read_sample,q2,250,1.0,264.5,542.0999999999999,22335.0,44894.549999999996
31,read_sample,q3,250,1.0,274.5,557.8999999999994,23389.0,58676.94999999993
31,read_sample,q4,250,1.0,264.0,483.3499999999997,22167.0,45227.24999999997
32,read_sample,q1,250,1.0,299.5,646.0999999999997,24246.5,58446.49999999995
32,read_sample,q2,250,1.0,283.0,648.5499999999996,24346.0,57814.24999999996
32,read_sample,q3,250,1.0,274.0,525.3999999999995,23293.5,49060.04999999996
32,read_sample,q4,250,1.0,274.0,532.8499999999999,23874.5,47580.89999999995
33,read_sample,q1,250,1.0,291.0,647.8499999999999,24089.0,50695.69999999996
33,read_sample,q2,250,1.0,290.0,504.19999999999993,24691.5,51029.99999999999
33,read_sample,q3,250,1.0,276.0,566.2499999999998,23418.5,54053.24999999998
33,read_sample,q4,250,1.0,284.0,587.3,24078.0,60227.89999999999
34,read_sample,q1,250,1.0,305.0,560.65,24298.5,45458.649999999994
34,read_sample,q2,250,1.0,299.0,570.7499999999995,26397.5,59974.84999999995
34,read_sample,q3,250,1.0,300.0,513.8499999999999,26220.5,53578.7
34,read_sample,q4,250,1.0,292.5,550.3999999999999,26108.5,48212.09999999999
35,read_sample,q1,250,1.0,312.5,587.9499999999998,25710.0,48036.799999999996
35,read_sample,q2,250,1.0,293.5,628.0499999999985,25863.0,59762.999999999956
35,read_sample,q3,250,1.0,294.5,530.0999999999999,25696.0,56499.39999999997
35,read_sample,q4,250,1.0,298.5,510.2999999999999,26036.5,46719.14999999998
36,read_sample,q1,250,1.0,315.0,658.7499999999995,26129.0,50426.09999999999
36,read_sample,q2,250,1.0,302.5,583.5499999999996,26386.5,58471.0
36,read_sample,q3,250,1.0,308.5,677.7499999999995,27787.5,68924.14999999972
36,read_sample,q4,250,1.0,294.0,542.4999999999998,25754.0,48990.849999999984
37,read_sample,q1,250,1.0,330.0,646.7499999999995,28217.0,61594.6
37,read_sample,q2,250,1.0,302.5,548.3999999999999,27327.0,52617.34999999999
37,read_sample,q3,250,1.0,307.5,627.8999999999996,26931.0,59601.599999999984
37,read_sample,q4,250,1.0,312.5,617.0499999999995,27986.0,58756.049999999974
38,read_sample,q1,250,1.0,336.5,661.3999999999999,28282.5,60127.99999999991
38,read_sample,q2,250,1.0,328.0,780.7999999999997,28801.5,81627.54999999971
38,read_sample,q3,250,1.0,328.0,778.8999999999994,29474.5,68077.94999999994
38,read_sample,q4,250,1.0,312.0,547.3499999999997,27417.5,56730.749999999935
39,read_sample,q1,250,1.0,353.5,695.1499999999994,28808.5,50900.39999999999
39,read_sample,q2,250,1.0,325.0,628.55,28236.0,63520.24999999999
39,read_sample,q3,250,1.0,333.0,584.5499999999996,29865.0,55368.04999999997
39,read_sample,q4,250,1.0,336.0,673.55,29357.5,70901.39999999995
40,read_sample,q1,250,1.0,352.5,619.3,29011.5,57402.59999999999
40,read_sample,q2,250,1.0,325.0,612.0999999999999,29915.5,64678.6
40,read_sample,q3,250,1.0,337.0,754.1499999999997,29986.5,80648.8999999999
40,read_sample,q4,250,1.0,330.0,611.65,29868.0,58253.949999999975
41,read_sample,q1,250,1.0,351.5,701.6999999999998,30531.0,58977.14999999999
41,read_sample,q2,250,1.0,339.5,753.4999999999998,30377.5,64513.0
41,read_sample,q3,250,1.0,344.0,828.4499999999997,30319.0,85712.19999999969
41,read_sample,q4,250,1.0,341.5,665.9499999999998,29967.0,77693.95
42,read_sample,q1,250,1.0,381.0,865.1499999999991,32036.5,67980.84999999998
42,read_sample,q2,250,1.0,355.0,664.9999999999997,32452.0,69842.94999999998
42,read_sample,q3,250,1.0,326.5,600.65,29743.0,65833.34999999998
42,read_sample,q4,250,1.0,362.0,791.2999999999979,32306.5,69416.74999999994
43,read_sample,q1,250,1.0,379.0,694.1999999999996,32826.5,61170.65
43,read_sample,q2,250,1.0,347.0,680.9499999999998,31504.0,62170.099999999984
43,read_sample,q3,250,1.0,352.0,725.65,31571.0,71209.04999999999
43,read_sample,q4,250,1.0,349.0,753.349999999999,31689.5,70384.39999999998
44,read_sample,q1,250,1.0,368.5,763.1499999999997,32638.5,65442.19999999993
44,read_sample,q2,250,1.0,366.0,789.8999999999987,32853.0,62603.449999999946
44,read_sample,q3,250,1.0,351.5,706.7499999999989,31763.0,71454.45
44,read_sample,q4,250,1.0,364.0,832.0499999999988,32486.5,76446.79999999992
45,read_sample,q1,250,1.0,397.5,872.1499999999987,32901.0,72144.34999999993
45,read_sample,q2,250,1.0,368.5,865.0499999999998,34378.0,102897.99999999996
45,read_sample,q3,250,1.0,372.5,952.55,33939.0,105211.44999999994
45,read_sample,q4,250,1.0,358.0,958.6499999999993,32920.5,105140.95
46,read_sample,q1,250,1.0,402.0,1024.449999999999,34740.5,65902.35
46,read_sample,q2,250,1.0,364.5,606.0499999999998,34059.0,63861.54999999997
46,read_sample,q3,250,1.0,373.5,737.1999999999999,33974.0,78491.74999999999
46,read_sample,q4,250,1.0,382.0,763.4999999999998,34384.5,79742.44999999998
47,read_sample,q1,250,1.0,399.5,976.5999999999998,34714.0,67274.99999999999
