run_name,epoch,timestamp_unix_ms,relation,phase,heap_blks_total,heap_blks_scanned,heap_blks_vacuumed,index_vacuum_count,max_dead_tuples,num_dead_tuples
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,19,1777549252335,pg_toast.pg_toast_862726372,scanning heap,498545,1054,0,0,11184809,3928
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,19,1777549253373,pg_toast.pg_toast_862726372,vacuuming indexes,498545,498545,0,0,11184809,1900717
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,19,1777549254414,pg_toast.pg_toast_862726372,vacuuming heap,498545,498545,212629,1,11184809,1900717
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,20,1777549636473,pg_toast.pg_toast_862726372,scanning heap,506406,376567,0,0,11184809,947397
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,20,1777549636473,usertable,initializing,0,0,0,0,0,0
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,20,1777549637509,pg_toast.pg_toast_2619,scanning heap,424,71,0,0,123384,2
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,20,1777549637509,pg_toast.pg_toast_862726372,scanning heap,547672,11868,0,0,11184809,43779
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,20,1777549638546,pg_toast.pg_toast_862726372,scanning heap,547672,518360,0,0,11184809,2000809
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,20,1777549639584,pg_toast.pg_toast_862726372,vacuuming heap,547672,547672,263182,1,11184809,2097578
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,20,1777549640621,pg_toast.pg_toast_862726372,vacuuming heap,547672,547672,335566,1,11184809,2097578
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,20,1777549641660,pg_toast.pg_toast_862726372,vacuuming heap,547672,547672,356329,1,11184809,2097578
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,20,1777549642698,pg_toast.pg_toast_862726372,vacuuming heap,547672,547672,359422,1,11184809,2097578
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,20,1777549643735,pg_toast.pg_toast_862726372,vacuuming heap,547672,547672,362360,1,11184809,2097578
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,20,1777549644773,pg_toast.pg_toast_862726372,vacuuming heap,547672,547672,369193,1,11184809,2097578
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,21,1777550047301,pg_toast.pg_toast_862726372,scanning heap,573484,8203,0,0,11184809,30191
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,21,1777550047301,usertable,scanning heap,5801,65,0,0,1688091,0
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,21,1777550048341,pg_toast.pg_toast_2619,scanning heap,217,150,0,0,63147,431
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,21,1777550048341,pg_toast.pg_toast_862726372,scanning heap,573484,19088,0,0,11184809,70313
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,21,1777550049381,pg_toast.pg_toast_862726372,scanning heap,573484,215937,0,0,11184809,748696
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,21,1777550050418,pg_toast.pg_toast_862726372,scanning heap,573484,249629,0,0,11184809,878405
